Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:19:23 PM,850093,12403,7429,7059,24317,55335,10922,240267,86,83,35,255
1/16/2019 10:19:24 PM,476031,44404,14191,37981,33235,119409,50636,43083,40,77,43,255
1/16/2019 10:19:25 PM,197113,8314,6269,32451,8592,62605,8481,46882,40,67,24,255
1/16/2019 10:19:26 PM,1641340,12406,11328,4174,6968,47213,2730,52704,40,64,35,255
1/16/2019 10:19:27 PM,549173,9193,39244,142794,10628,106828,7285,207205,40,51,34,255
1/16/2019 10:19:28 PM,123611,7149,54001,25009,8441,53372,3161,200822,40,41,41,255
1/16/2019 10:19:29 PM,6364,39883,30201,8529,5071,44054,3229,167308,40,34,61,255
1/16/2019 10:19:30 PM,13880,1620,14593,6078,10455,48736,7034,229953,40,38,56,255
1/16/2019 10:19:31 PM,48139,3086,8583,7329,6618,4678,6023,195052,40,53,69,255
1/16/2019 10:19:32 PM,248417,20470,4717,5987,5608,12291,6484,215513,40,57,74,255
1/16/2019 10:19:33 PM,11497,3423,6054,7551,5788,17744,4685,209474,40,74,60,255
1/16/2019 10:19:34 PM,10989,14658,11357,3596,7399,6106,5933,214870,40,77,77,255
1/16/2019 10:19:35 PM,4924,16818,9698,3365,5112,16741,3784,201272,40,64,83,255
1/16/2019 10:19:36 PM,68512,13810,13979,7549,7791,20836,13632,216088,40,67,78,255
1/16/2019 10:19:37 PM,355774,32663,28208,18150,8003,54622,7419,152062,40,56,88,255
1/16/2019 10:19:38 PM,153370,25697,123972,13225,14265,130921,1667,186402,40,43,84,255
1/16/2019 10:19:39 PM,212009,3481,3853,1852,977,25721,259,10825,40,29,70,255
1/16/2019 10:19:40 PM,12147,621,3022,1567,790,7565,232,9148,40,21,64,255
1/16/2019 10:19:41 PM,744,13302,4742,3101,7710,61697,3501,197750,40,26,53,255
1/16/2019 10:19:42 PM,6143,2132,18145,4141,11204,15478,5912,161941,40,43,48,255
1/16/2019 10:19:43 PM,7158,7080,6728,2525,5396,10964,3787,151877,40,61,57,255
1/16/2019 10:19:44 PM,118197,27135,1323,6616,6172,23065,10803,181304,40,66,64,255
1/16/2019 10:19:45 PM,9122,9664,942,1081,1394,11035,1728,44705,40,61,77,255
1/16/2019 10:19:46 PM,4433,74686,7578,6161,8849,50234,3959,183362,40,47,83,255
1/16/2019 10:19:47 PM,5459,8430,12392,4290,8975,21205,4322,160589,40,47,81,255
1/16/2019 10:19:48 PM,234949,27372,10665,11563,6728,6874,4294,128939,40,50,90,255
