Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 8:50:25 PM,389012,12969,10427,3310,6422,31187,2745,142333,32,60,50,255
1/16/2019 8:50:26 PM,17272,15226,11737,8733,16556,27651,8557,106255,32,61,54,255
1/16/2019 8:50:27 PM,44804,16842,12333,4670,4127,17209,3200,103813,32,60,53,255
1/16/2019 8:50:28 PM,60615,14805,9071,9894,8490,62275,5482,59886,32,51,53,255
1/16/2019 8:50:29 PM,26549,21984,11417,4112,7208,58127,2428,73073,32,50,51,255
1/16/2019 8:50:30 PM,12562,5941,1487,8345,8897,31954,4578,97098,32,47,41,255
1/16/2019 8:50:31 PM,17150,2242,2816,15670,14544,10626,9999,63376,32,66,24,255
1/16/2019 8:50:32 PM,68702,24951,19692,23878,8858,50005,3859,91553,60,64,27,255
1/16/2019 8:50:33 PM,7708,25688,10873,16687,21578,36963,5022,59525,60,77,27,255
1/16/2019 8:50:34 PM,7551,811,1410,9375,7694,14533,5114,85270,60,81,21,255
1/16/2019 8:50:35 PM,9502,13169,15304,12233,14457,11332,3169,78335,60,75,35,255
1/16/2019 8:50:36 PM,77631,1975,9814,10716,5279,30412,6524,74838,60,77,29,255
1/16/2019 8:50:37 PM,227278,5656,8185,6301,7152,20544,8272,61813,53,74,27,255
1/16/2019 8:50:38 PM,13406,43653,58526,26229,6146,91614,3763,62346,53,51,48,255
1/16/2019 8:50:39 PM,18694,11221,7145,2847,5617,9557,1672,61547,53,44,50,255
1/16/2019 8:50:40 PM,8897,7693,3788,6865,4651,26903,2232,57983,53,44,51,255
1/16/2019 8:50:41 PM,22923,6300,8977,9478,6544,46667,2734,60547,53,38,47,255
1/16/2019 8:50:42 PM,15247,32356,10187,7061,5874,21637,3527,65263,53,47,50,255
1/16/2019 8:50:43 PM,59519,5961,4187,2070,5925,12689,7293,46319,53,50,44,255
1/16/2019 8:50:44 PM,7387,17811,10054,4621,10161,32787,3797,48175,53,51,50,255
1/16/2019 8:50:45 PM,5057,13348,9575,3805,8546,13109,2830,56357,53,60,61,255
1/16/2019 8:50:46 PM,39718,6125,5206,6825,7870,23255,2650,57498,53,67,50,255
1/16/2019 8:50:47 PM,8243,6037,12071,7660,5333,25527,2380,53261,53,61,50,255
1/16/2019 8:50:48 PM,3823,17380,3849,4951,7798,7392,4912,65844,53,66,54,255
1/16/2019 8:50:49 PM,9017,14028,6703,6255,8788,26898,5050,79260,53,64,50,255
1/16/2019 8:50:50 PM,59547,18191,4235,10793,7730,20892,8158,46494,53,63,54,255
