Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:16:01 PM,12853,6413,5246,5319,7041,12922,7192,230811,69,80,56,255
1/16/2019 10:16:02 PM,11031,3579,4539,7875,6079,10770,8009,215143,69,91,57,255
1/16/2019 10:16:03 PM,1165161,2203,2107,9480,12011,10340,7859,97241,60,100,44,255
1/16/2019 10:16:04 PM,13398,22320,33557,20229,25300,330970,4508,109116,60,83,35,255
1/16/2019 10:16:05 PM,8148,8408,8935,8689,18795,5787,6643,101915,60,94,37,255
1/16/2019 10:16:06 PM,21794,2210,11798,8335,8247,35185,5955,89889,60,90,34,255
1/16/2019 10:16:07 PM,1902,20892,7532,11768,6920,50530,12262,100925,60,67,44,255
1/16/2019 10:16:08 PM,11927,5569,4078,2010,10115,6034,4363,125865,60,90,57,255
1/16/2019 10:16:09 PM,10261,12405,2159,4157,8934,3700,10383,116844,60,84,63,255
1/16/2019 10:16:10 PM,4873,12432,9484,7667,12541,19599,6280,96885,60,90,70,255
1/16/2019 10:16:11 PM,1994,7708,3887,12262,7837,10667,5710,87145,60,100,69,255
1/16/2019 10:16:12 PM,7756,9554,3446,5168,5995,11409,12874,106920,60,94,69,255
1/16/2019 10:16:13 PM,3082,11109,4260,6583,19080,21682,7812,104642,60,94,61,255
1/16/2019 10:16:14 PM,11961,8329,14546,5094,10757,8658,9478,105962,60,96,67,255
1/16/2019 10:16:15 PM,422,4770,2680,3495,7832,22231,12735,80670,60,93,63,255
1/16/2019 10:16:16 PM,409326,5389,2293,3553,12696,7981,14025,104687,60,100,57,255
1/16/2019 10:16:17 PM,22192,45342,22822,18362,11835,176631,6778,75828,60,81,57,255
1/16/2019 10:16:18 PM,5643,14083,9744,11557,12268,25885,10938,116005,60,78,50,255
1/16/2019 10:16:19 PM,7025,11288,19105,11512,10543,7322,9934,119730,60,78,66,255
1/16/2019 10:16:20 PM,4296,24658,4603,7184,13110,5774,3354,80128,60,69,78,255
1/16/2019 10:16:21 PM,6897,3403,2563,6487,10920,7853,9818,78792,60,96,74,255
1/16/2019 10:16:22 PM,824,8701,18579,2065,10930,4871,7924,82185,60,100,87,255
1/16/2019 10:16:23 PM,4203,3455,1338,5474,10295,8465,9008,94802,60,100,69,255
1/16/2019 10:16:24 PM,3557,11230,2850,3741,3869,7810,7742,107108,60,100,66,255
1/16/2019 10:16:25 PM,12919,9058,7239,10327,13397,10607,4716,91901,60,100,74,255
1/16/2019 10:16:26 PM,3721,9313,5187,1850,20880,20494,15761,136675,60,100,57,255
