Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:28:31 PM,306883,2472,3258,11453,19376,38324,12670,243621,46,67,54,255
1/16/2019 10:28:32 PM,144595,11476,10882,13450,16493,29875,5727,217500,46,66,54,255
1/16/2019 10:28:33 PM,311964,3908,24104,13965,29829,190471,28249,190623,35,63,41,255
1/16/2019 10:28:34 PM,145710,41662,12941,21160,34683,175169,31584,216950,41,56,40,255
1/16/2019 10:28:35 PM,531839,38371,7113,3442,2502,64799,3352,83192,38,38,60,255
1/16/2019 10:28:36 PM,2145822,13408,7110,15212,6249,23793,2605,78325,38,34,63,255
1/16/2019 10:28:37 PM,140711,86878,36146,35200,43639,312673,10006,346257,38,29,74,255
1/16/2019 10:28:38 PM,47634,4971,2060,2238,1237,3477,772,20642,38,27,88,255
1/16/2019 10:28:39 PM,44030,7867,1611,8761,3376,7587,1612,66426,38,41,84,255
1/16/2019 10:28:40 PM,26380,6165,8430,11542,8187,43432,1773,188148,38,41,78,255
1/16/2019 10:28:41 PM,18006,10131,27345,5010,7579,21796,1783,223482,38,43,90,255
1/16/2019 10:28:42 PM,19491,12908,16895,8515,5893,14061,1963,215207,38,44,91,255
1/16/2019 10:28:43 PM,38556,2529,5420,3285,12804,90249,6203,250897,38,41,74,255
1/16/2019 10:28:44 PM,136036,14124,14137,11374,3836,43325,10116,275098,38,37,80,255
1/16/2019 10:28:45 PM,21727,10701,11449,2187,5611,87529,2509,291012,38,29,64,255
1/16/2019 10:28:46 PM,71814,24658,20052,9221,5158,16123,5463,260277,38,27,66,255
1/16/2019 10:28:47 PM,43986,32396,20715,9918,6207,14076,3573,260380,38,24,96,255
1/16/2019 10:28:48 PM,137909,2864,134432,16845,20078,38452,5459,232866,38,29,100,255
1/16/2019 10:28:49 PM,441769,164050,16114,9208,3784,125553,6578,273745,38,21,100,255
1/16/2019 10:28:50 PM,40329,12235,9685,6596,4256,44967,1337,52380,38,20,100,255
1/16/2019 10:28:51 PM,95716,3204,6457,1451,831,4669,534,13146,38,16,100,255
1/16/2019 10:28:52 PM,609477,9545,1839,7425,1978,17971,1682,52479,38,13,97,255
1/16/2019 10:28:53 PM,153630,10947,11058,3240,3218,23547,1748,64717,38,24,93,255
1/16/2019 10:28:54 PM,578960,54448,16560,13235,6357,56720,6258,283642,38,23,100,255
1/16/2019 10:28:55 PM,50902,3410,3589,6585,3801,36007,1295,73841,38,24,78,255
1/16/2019 10:28:56 PM,246850,26442,15611,11293,8352,24400,19045,360771,38,29,88,255
