Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:30:58 PM,21549,16361,2471,5969,9535,27421,7140,112418,43,67,40,255
1/16/2019 10:30:59 PM,5936,17759,16998,6551,10195,16593,6316,168778,43,64,50,255
1/16/2019 10:31:00 PM,81282,13939,14238,9337,10234,21509,7104,134940,43,64,57,255
1/16/2019 10:31:01 PM,249180,59497,9988,33058,19619,67257,10623,145932,47,56,64,255
1/16/2019 10:31:02 PM,520201,39914,42465,35164,22069,113421,8723,134217,44,51,66,255
1/16/2019 10:31:03 PM,2365134,27156,60229,69997,40604,108386,30284,133236,44,53,57,255
1/16/2019 10:31:04 PM,10485,15116,24854,7683,10051,79792,7274,246742,44,47,54,255
1/16/2019 10:31:05 PM,459494,47602,45629,15762,9707,106425,7112,85353,44,40,56,255
1/16/2019 10:31:06 PM,5785,5114,6665,2823,1793,8316,2913,22061,44,38,61,255
1/16/2019 10:31:07 PM,33750,24880,40720,25481,22320,27041,7276,92922,44,38,67,255
1/16/2019 10:31:08 PM,28641,4379,25338,1236,9616,28535,5796,132679,44,43,74,255
1/16/2019 10:31:09 PM,30437,20123,22804,12428,12875,66596,6971,109590,44,50,69,255
1/16/2019 10:31:10 PM,7434,52395,40119,10190,17347,61883,11881,98856,44,51,70,255
1/16/2019 10:31:11 PM,45079,30247,5100,7307,7446,29995,9448,76067,44,47,69,255
1/16/2019 10:31:12 PM,3915,24197,5829,8675,7018,25225,5522,84819,44,44,69,255
1/16/2019 10:31:13 PM,35074,2518,12337,6613,8249,8175,2907,89127,44,53,74,255
1/16/2019 10:31:14 PM,2696,41562,3687,4719,15025,5231,5965,96349,44,57,78,255
1/16/2019 10:31:15 PM,19834,2693,60088,16217,16278,8696,4301,132938,44,63,83,255
1/16/2019 10:31:16 PM,26539,105382,44663,23083,13615,12987,9240,121879,44,60,94,255
1/16/2019 10:31:17 PM,518508,134551,50549,15880,17114,12149,3699,96111,44,50,100,255
1/16/2019 10:31:18 PM,9198,29564,6736,20699,9622,76170,4730,114206,44,40,96,255
1/16/2019 10:31:19 PM,19615,41254,1583,11072,10214,14935,3617,98986,44,38,94,255
1/16/2019 10:31:20 PM,13784,26250,5700,7618,8414,18787,3924,85644,44,43,84,255
1/16/2019 10:31:21 PM,15479,18751,13024,4523,12481,21278,3573,114745,44,50,70,255
1/16/2019 10:31:22 PM,35563,2855,15306,8894,9013,31420,5582,90668,44,56,70,255
1/16/2019 10:31:23 PM,361602,19900,16448,9072,3274,32959,2333,129150,44,47,67,255
