Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:23:09 PM,4185,5744,17736,4167,8057,13216,8145,213346,45,81,53,255
1/16/2019 10:23:10 PM,9753,11997,8874,11263,20141,23775,4186,163804,45,87,50,255
1/16/2019 10:23:11 PM,17221,12264,3693,13790,9046,8807,6123,157448,45,91,47,255
1/16/2019 10:23:12 PM,1413,12312,5079,4894,14023,6302,7008,175832,45,96,54,255
1/16/2019 10:23:13 PM,8996,2242,12295,14553,7383,9203,9576,172689,45,100,48,255
1/16/2019 10:23:14 PM,7386,8169,5346,17503,10050,5091,7136,165071,45,100,50,255
1/16/2019 10:23:15 PM,3045,28201,20583,10087,5503,19313,6738,173661,45,87,57,255
1/16/2019 10:23:16 PM,496053,5721,10996,6613,12225,4590,18197,202418,45,84,57,255
1/16/2019 10:23:17 PM,17308,7784,15124,1491,8368,59461,9775,147597,45,75,54,255
1/16/2019 10:23:18 PM,48238,19570,8435,4197,10877,18385,8917,145140,45,67,60,255
1/16/2019 10:23:19 PM,1223,1020,2581,1686,1830,7258,3558,46365,45,77,48,255
1/16/2019 10:23:20 PM,5093,10726,4631,9362,11050,18652,9120,177822,45,69,43,255
1/16/2019 10:23:21 PM,8429,7195,8065,8701,8198,20995,9083,158650,45,78,44,255
1/16/2019 10:23:22 PM,2809,2873,16724,11267,4962,17381,5522,143966,45,74,41,255
1/16/2019 10:23:23 PM,1600,12662,14258,4352,6423,11021,12264,173497,45,70,53,255
1/16/2019 10:23:24 PM,10608,98396,2172,5958,10271,91275,10260,130372,45,56,60,255
1/16/2019 10:23:25 PM,11272,15972,6295,3437,14144,8310,4045,157704,45,61,66,255
1/16/2019 10:23:26 PM,7931,3464,8012,3207,11941,22676,9989,138829,45,70,60,255
1/16/2019 10:23:27 PM,5126,19132,2883,10542,7205,3511,6318,135807,45,77,57,255
1/16/2019 10:23:28 PM,4717,15107,4973,6502,19006,11086,2502,174474,45,97,53,255
1/16/2019 10:23:29 PM,10046,17407,8708,2704,9102,16500,5635,143649,45,91,54,255
1/16/2019 10:23:30 PM,7478,40410,31504,2245,14994,15770,5764,147225,45,84,74,255
1/16/2019 10:23:31 PM,11137,5127,3804,1296,12352,22770,13222,188131,45,88,60,255
1/16/2019 10:23:32 PM,5694,6849,9857,3165,13579,11404,6727,121349,45,87,61,255
1/16/2019 10:23:33 PM,10894,16423,5424,5351,12221,7480,9431,135927,45,91,61,255
1/16/2019 10:23:34 PM,4277,3433,2650,3548,5198,11090,8067,147785,45,96,44,255
