Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:22:24 PM,9362,7370,5387,2545,6669,11886,5768,174866,68,70,38,255
1/16/2019 10:22:25 PM,20314,4114,5076,11123,10995,9948,15748,148771,68,87,41,255
1/16/2019 10:22:26 PM,117075,3344,1458,9280,11445,12136,9204,88184,67,100,35,255
1/16/2019 10:22:27 PM,17315,38241,1808,8199,6834,62254,839,20999,67,91,30,255
1/16/2019 10:22:28 PM,28491,16179,8343,8710,6952,12345,13132,100689,67,87,35,255
1/16/2019 10:22:29 PM,2174,19628,6180,10706,10811,18032,8867,91393,67,80,41,255
1/16/2019 10:22:30 PM,9250,3494,2631,5079,8082,21489,5325,80275,67,70,43,255
1/16/2019 10:22:31 PM,12099,16033,12374,2734,13725,29225,8257,98140,67,83,43,255
1/16/2019 10:22:32 PM,77272,600,4423,4916,5180,16247,7643,84576,56,87,30,255
1/16/2019 10:22:33 PM,45098,11382,5935,6737,4013,56131,1181,25900,56,74,23,255
1/16/2019 10:22:34 PM,12529,21289,2614,14197,7074,10065,4376,92215,56,67,37,255
1/16/2019 10:22:35 PM,5270,24204,1659,4908,4823,8176,3939,94723,56,63,43,255
1/16/2019 10:22:36 PM,11986,9478,10935,4960,11455,6510,6347,98966,56,67,54,255
1/16/2019 10:22:37 PM,4010,6608,4730,16882,6653,21364,4608,106511,56,80,56,255
1/16/2019 10:22:38 PM,18588,8771,4156,10317,6321,32250,7320,84186,56,77,48,255
1/16/2019 10:22:39 PM,790,5093,4149,3524,20878,10081,5017,65283,56,94,35,255
1/16/2019 10:22:40 PM,180526,5656,2861,3827,6382,9597,6575,103143,45,91,29,255
1/16/2019 10:22:41 PM,69144,24345,21212,10327,9311,57047,4269,98902,45,83,37,255
1/16/2019 10:22:42 PM,9957,7438,3836,5657,9862,11498,6731,105579,45,93,40,255
1/16/2019 10:22:43 PM,13325,7273,8151,12735,9680,15606,2338,80388,45,81,43,255
1/16/2019 10:22:44 PM,16751,14447,1917,20867,9125,10770,11848,87489,45,81,41,255
1/16/2019 10:22:45 PM,11906,11162,7479,13413,10121,24633,4483,90691,45,88,40,255
1/16/2019 10:22:46 PM,399963,19494,6536,7732,23614,19905,8446,78454,45,90,41,255
1/16/2019 10:22:47 PM,2991,7703,3628,6832,9504,70069,8480,104973,45,81,30,255
1/16/2019 10:22:48 PM,4411,7728,12538,8758,8178,14323,13853,97960,45,78,35,255
1/16/2019 10:22:49 PM,4039,5440,3097,5105,7768,6113,7880,105736,45,87,35,255
