Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:38:45 PM,58691,10565,15997,6895,17910,41850,7496,340407,57,63,30,255
1/16/2019 10:38:46 PM,158603,14011,14521,3517,14056,8559,8002,353208,57,80,41,255
1/16/2019 10:38:47 PM,990056,927,962,3476,1637,37717,1125,74526,112,80,24,255
1/16/2019 10:38:48 PM,228905,425967,55587,86710,57977,520974,28180,277042,112,64,41,255
1/16/2019 10:38:49 PM,69567,6611,2925,6257,1361,44372,1322,19082,60,41,41,255
1/16/2019 10:38:50 PM,23217,6333,2308,1253,482,3813,400,19354,60,21,48,255
1/16/2019 10:38:51 PM,45207,7211,5223,6710,3735,53174,2543,305588,60,23,63,255
1/16/2019 10:38:52 PM,16862,50605,5897,5668,5326,41529,2882,300045,60,23,66,255
1/16/2019 10:38:53 PM,49225,6936,3469,14720,9316,11275,5569,299870,60,51,70,255
1/16/2019 10:38:54 PM,5508,69018,10402,7463,7055,16306,3063,264893,60,57,75,255
1/16/2019 10:38:55 PM,11961,13711,17238,3356,7310,54764,3840,306169,60,63,84,255
1/16/2019 10:38:56 PM,10786,11276,7387,6456,10153,43199,3068,260409,60,70,74,255
1/16/2019 10:38:57 PM,3578,9243,9140,4410,6380,44142,3134,308933,60,56,75,255
1/16/2019 10:38:58 PM,3056,16024,9298,8237,2874,8178,1882,271974,60,57,67,255
1/16/2019 10:38:59 PM,883856,9207,36565,9086,4632,17104,2318,265283,60,56,78,255
1/16/2019 10:39:00 PM,613968,15260,16173,7672,6005,315710,3747,281580,60,35,64,255
1/16/2019 10:39:01 PM,631473,15911,7445,13392,1862,45952,1603,74059,60,23,66,255
1/16/2019 10:39:02 PM,4920,70564,47492,9672,4417,34298,2832,256116,60,13,74,255
1/16/2019 10:39:03 PM,9712,33460,6417,4099,3977,7682,6195,294221,60,14,80,255
1/16/2019 10:39:04 PM,10117,5522,10748,11844,10996,2058,5903,343375,60,48,100,255
1/16/2019 10:39:05 PM,4954,23297,10457,2801,5053,12456,3698,338971,60,61,100,255
1/16/2019 10:39:06 PM,7879,13464,9279,9026,24517,21688,4645,297666,60,90,97,255
1/16/2019 10:39:07 PM,1598,18761,15454,16203,5891,22588,3980,272354,60,91,87,255
1/16/2019 10:39:08 PM,12352,39325,3778,4392,5085,16780,4243,275334,60,74,96,255
1/16/2019 10:39:09 PM,46530,16634,8301,11611,6936,43502,3009,281500,60,70,80,255
1/16/2019 10:39:10 PM,2361,29802,4322,6249,7246,17590,11834,296779,60,60,90,255
