Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 9:08:50 PM,8111,11055,4765,14304,16009,36154,5520,86319,70,67,30,255
1/16/2019 9:08:51 PM,4156,7684,5796,2587,8640,13140,6890,119530,70,70,35,255
1/16/2019 9:08:52 PM,253869,3506,11733,5843,9384,10388,8345,55861,68,81,43,255
1/16/2019 9:08:53 PM,7768,10696,9259,4669,6477,115952,1370,8467,68,66,37,255
1/16/2019 9:08:54 PM,6741,8816,14967,3692,22831,4198,4674,38194,68,75,47,255
1/16/2019 9:08:55 PM,1687,4462,5073,4898,5562,22850,3177,70829,68,67,40,255
1/16/2019 9:08:56 PM,7996,5091,5924,4344,6519,10871,5296,45040,68,66,38,255
1/16/2019 9:08:57 PM,6492,3081,3386,4728,8500,5732,4691,27735,68,88,44,255
1/16/2019 9:08:58 PM,4662,4167,3288,10236,11672,8841,4009,42475,68,87,35,255
1/16/2019 9:08:59 PM,2502,2625,8271,2068,7569,6259,8093,37980,68,94,43,255
1/16/2019 9:09:00 PM,2040,1429,4908,8816,9141,8349,7267,51478,68,100,37,255
1/16/2019 9:09:01 PM,3478,4875,9317,6631,6281,18253,7640,30711,68,90,40,255
1/16/2019 9:09:02 PM,5259,29079,11516,4945,8068,16652,10280,54743,68,77,54,255
1/16/2019 9:09:03 PM,5032,9970,4945,8283,6510,27717,4213,45897,68,67,50,255
1/16/2019 9:09:04 PM,3698,8902,13972,13705,6209,18069,4790,41728,68,57,56,255
1/16/2019 9:09:05 PM,6878,887,4051,4170,11550,15733,6677,56696,68,66,48,255
1/16/2019 9:09:06 PM,16568,1780,2075,3969,8571,13308,5842,54747,68,77,27,255
1/16/2019 9:09:07 PM,8892,7089,8308,13784,18494,38276,5078,39646,68,83,24,255
1/16/2019 9:09:08 PM,329054,124979,168862,14241,17351,35790,6365,23250,68,75,41,255
1/16/2019 9:09:09 PM,6217,8595,128536,9654,8016,67228,7555,52357,68,54,63,255
1/16/2019 9:09:10 PM,3092,33276,12688,5382,18427,5565,5858,24773,68,51,83,255
1/16/2019 9:09:11 PM,4711,6003,3856,2102,3993,11495,6020,33705,68,47,91,255
1/16/2019 9:09:12 PM,3988,4224,7440,7701,7067,8779,10441,63296,68,61,74,255
1/16/2019 9:09:13 PM,7891,2274,3532,5119,13956,11638,4949,34266,68,84,53,255
1/16/2019 9:09:14 PM,1780,9535,4807,6928,9814,5655,4166,42505,68,87,47,255
1/16/2019 9:09:15 PM,2045,6600,6473,7256,10040,4597,5247,103705,68,94,48,255
