Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 9:07:25 PM,7579,4001,1061,2506,2507,7832,420,5901,64,61,40,255
1/16/2019 9:07:26 PM,4878,5725,11238,4484,5596,8915,8816,81119,64,69,41,255
1/16/2019 9:07:27 PM,1298,3354,4571,7088,5042,14580,4109,35219,64,80,43,255
1/16/2019 9:07:28 PM,3671,4250,4436,7382,7605,5611,5185,32496,64,74,51,255
1/16/2019 9:07:29 PM,10819,9168,1850,9658,7431,22401,4952,39804,64,75,48,255
1/16/2019 9:07:30 PM,212154,7780,10886,13302,13963,4133,3973,40826,55,81,44,255
1/16/2019 9:07:31 PM,3302,2977,3840,3940,3533,6831,1305,8375,55,83,50,255
1/16/2019 9:07:32 PM,10243,2374,2825,14783,14770,8000,7544,35412,55,88,38,255
1/16/2019 9:07:33 PM,2201,2691,9692,28037,7283,6828,5082,52129,55,93,40,255
1/16/2019 9:07:34 PM,4154,8762,9269,6562,7267,8182,6184,19619,55,88,43,255
1/16/2019 9:07:35 PM,10293,5603,6810,8613,7728,21861,3282,30362,55,88,38,255
1/16/2019 9:07:36 PM,4306,17837,14545,10508,22731,13838,4560,36518,55,81,53,255
1/16/2019 9:07:37 PM,4690,21806,1928,7774,4903,11922,1903,57538,55,74,63,255
1/16/2019 9:07:38 PM,1929,5578,3674,11626,10107,16946,3710,40562,55,75,53,255
1/16/2019 9:07:39 PM,3958,2236,2254,2538,3971,6716,8192,22929,55,78,53,255
1/16/2019 9:07:40 PM,9903,4326,19391,6742,11299,37146,6553,31316,55,70,50,255
1/16/2019 9:07:41 PM,8395,8772,5463,14777,9619,32286,4923,52668,55,75,38,255
1/16/2019 9:07:42 PM,5838,8335,5387,3655,4734,26796,4226,56279,55,66,41,255
1/16/2019 9:07:43 PM,1012,1115,4956,3394,7438,13254,2756,52011,55,66,38,255
1/16/2019 9:07:44 PM,11680,9361,6615,12458,7267,7416,6102,43150,55,69,41,255
1/16/2019 9:07:45 PM,55816,4732,5863,5924,4504,7456,5026,33355,51,70,50,255
1/16/2019 9:07:46 PM,33403,16315,2344,2228,3530,15341,2762,8771,51,69,56,255
1/16/2019 9:07:47 PM,441,11495,6560,11863,10956,8912,4421,37453,51,69,63,255
1/16/2019 9:07:48 PM,2961,6102,3320,3720,7381,5810,3973,40270,51,74,63,255
1/16/2019 9:07:49 PM,2888,5151,18420,7939,8238,2975,12085,34576,51,75,69,255
1/16/2019 9:07:50 PM,633,9501,2658,5918,8175,16985,8890,67229,51,83,61,255
