Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 9:09:34 PM,14360,63333,36856,9399,26185,99376,3625,120683,63,75,41,255
1/16/2019 9:09:35 PM,2785,15262,17599,6566,7247,10407,6525,74373,63,75,53,255
1/16/2019 9:09:36 PM,5503,1985,906,3072,7506,3396,7522,31120,63,83,44,255
1/16/2019 9:09:37 PM,5067,6488,4854,3356,6708,16871,5685,34405,63,77,54,255
1/16/2019 9:09:38 PM,3972,3563,12691,4281,14848,3319,6370,37236,63,91,56,255
1/16/2019 9:09:39 PM,179300,8226,21377,5217,13362,3792,15584,30522,54,96,56,255
1/16/2019 9:09:40 PM,1567,6738,7311,11084,8006,51818,1512,5931,54,78,54,255
1/16/2019 9:09:41 PM,8493,11629,7148,3957,10908,4026,5785,56534,54,83,63,255
1/16/2019 9:09:42 PM,6080,17088,6555,2228,9269,21617,9633,34515,54,74,61,255
1/16/2019 9:09:43 PM,2986,9433,8479,5238,14165,18241,6792,28626,54,74,51,255
1/16/2019 9:09:44 PM,1829,6003,6438,5124,20725,50993,4603,59851,54,81,50,255
1/16/2019 9:09:45 PM,239705,31300,7148,15896,14392,15122,10277,45423,53,78,48,255
1/16/2019 9:09:46 PM,24947,6091,1232,4393,3996,20325,1644,9765,53,75,40,255
1/16/2019 9:09:47 PM,10435,6547,3886,2048,15056,12259,6193,63800,53,78,37,255
1/16/2019 9:09:48 PM,2240,9538,15680,7919,9336,17078,9891,37980,53,77,50,255
1/16/2019 9:09:49 PM,2608,38166,9901,4156,11310,15871,10574,51167,53,74,54,255
1/16/2019 9:09:50 PM,4397,11128,4644,2600,6497,3052,4903,36126,53,78,69,255
1/16/2019 9:09:51 PM,5325,22079,4064,4714,10963,6989,7110,37181,53,74,80,255
1/16/2019 9:09:52 PM,3753,15177,2470,7024,6935,27003,4629,38981,53,69,77,255
1/16/2019 9:09:53 PM,1694,19833,21213,7847,10780,7162,5195,48125,53,70,77,255
1/16/2019 9:09:54 PM,1593,2476,10173,6521,9832,13368,14275,46726,53,74,66,255
1/16/2019 9:09:55 PM,14159,1501,6688,4852,19105,12740,7017,53718,53,81,53,255
1/16/2019 9:09:56 PM,1533,3623,10067,7189,8173,10316,4188,37088,53,88,54,255
1/16/2019 9:09:57 PM,2410,12700,7358,5472,7884,3603,6405,25882,53,91,51,255
1/16/2019 9:09:58 PM,10669,7696,3112,2684,20118,3719,8236,32352,53,100,51,255
1/16/2019 9:09:59 PM,3756,10964,3537,2742,5743,34133,5999,48778,53,84,54,255
