Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 7:46:18 PM,17070,13067,27079,10060,9467,5511,10785,172639,66,69,69,255
12/30/2018 7:46:19 PM,11447,5748,37933,8156,15039,16340,5017,158976,66,78,70,255
12/30/2018 7:46:20 PM,334419,23452,11467,6697,7771,13071,5710,195976,66,87,80,255
12/30/2018 7:46:21 PM,8996,9211,13099,5680,10972,25089,22906,186190,66,77,81,255
12/30/2018 7:46:22 PM,6435,18770,21360,7467,9839,37589,10874,159524,66,70,74,255
12/30/2018 7:46:23 PM,422975,4184,16622,8821,12040,23199,16850,196710,66,70,64,255
12/30/2018 7:46:24 PM,31389,9250,18648,9104,10750,49694,11225,250692,66,69,53,255
12/30/2018 7:46:25 PM,2443,3483,8392,5392,11796,30897,9742,174561,66,70,47,255
12/30/2018 7:46:26 PM,15650,6011,14151,8033,15348,26536,7641,138436,66,81,40,255
12/30/2018 7:46:27 PM,25016,12682,7411,17636,8536,13531,16198,150559,66,81,40,255
12/30/2018 7:46:28 PM,26344,38199,3125,7910,9594,167233,9742,150538,66,69,35,255
12/30/2018 7:46:29 PM,5606,25264,7673,7721,11394,28341,10186,93327,66,64,47,255
12/30/2018 7:46:30 PM,7340,9502,8676,5733,4380,20894,12324,153422,66,53,50,255
12/30/2018 7:46:31 PM,5761,7063,3753,9455,13048,9015,7233,134834,66,64,44,255
12/30/2018 7:46:32 PM,6500,8887,14061,10366,11690,11960,12389,133704,66,87,54,255
12/30/2018 7:46:33 PM,2219,14095,14384,9144,12729,33637,15214,164711,66,87,51,255
12/30/2018 7:46:34 PM,5355,22979,12760,20003,20001,21367,11121,116656,66,97,51,255
12/30/2018 7:46:35 PM,30711,18722,9437,4917,17436,18418,14209,171963,66,93,60,255
12/30/2018 7:46:36 PM,5052,18216,29026,10891,19041,14769,20020,110309,66,91,64,255
12/30/2018 7:46:37 PM,23513,8481,50460,7485,8314,2069,13695,129299,66,90,84,255
12/30/2018 7:46:38 PM,5710,8537,30010,14721,11034,39502,12145,132200,66,78,84,255
12/30/2018 7:46:39 PM,8697,3823,20642,8731,8074,10080,7175,83581,66,74,88,255
12/30/2018 7:46:40 PM,4026,6933,6227,7100,11745,9744,8409,122514,66,78,78,255
12/30/2018 7:46:41 PM,14245,10968,5202,12870,6936,7331,3693,136203,66,87,60,255
12/30/2018 7:46:42 PM,31854,391,11556,5415,12575,46085,7832,82470,66,91,48,255
12/30/2018 7:46:43 PM,4399,21244,18492,10260,19835,13993,12472,123383,66,96,48,255
