Time,Raw_EEGS
,
12/30/2018 7:46:17 PM,33
12/30/2018 7:46:17 PM,45
12/30/2018 7:46:17 PM,70
12/30/2018 7:46:17 PM,101
12/30/2018 7:46:17 PM,101
12/30/2018 7:46:17 PM,55
12/30/2018 7:46:17 PM,12
12/30/2018 7:46:17 PM,4
12/30/2018 7:46:17 PM,13
12/30/2018 7:46:17 PM,10
12/30/2018 7:46:17 PM,11
12/30/2018 7:46:17 PM,10
12/30/2018 7:46:17 PM,17
12/30/2018 7:46:17 PM,48
12/30/2018 7:46:17 PM,50
12/30/2018 7:46:17 PM,17
12/30/2018 7:46:17 PM,-27
12/30/2018 7:46:17 PM,-62
12/30/2018 7:46:17 PM,-52
12/30/2018 7:46:17 PM,-21
12/30/2018 7:46:17 PM,-6
12/30/2018 7:46:17 PM,-12
12/30/2018 7:46:17 PM,-17
12/30/2018 7:46:17 PM,17
12/30/2018 7:46:17 PM,34
12/30/2018 7:46:17 PM,12
12/30/2018 7:46:17 PM,-28
12/30/2018 7:46:17 PM,-52
12/30/2018 7:46:17 PM,-58
12/30/2018 7:46:17 PM,-40
12/30/2018 7:46:17 PM,5
12/30/2018 7:46:17 PM,21
12/30/2018 7:46:17 PM,38
12/30/2018 7:46:17 PM,105
12/30/2018 7:46:17 PM,152
12/30/2018 7:46:17 PM,112
12/30/2018 7:46:17 PM,35
12/30/2018 7:46:17 PM,-11
12/30/2018 7:46:17 PM,9
12/30/2018 7:46:18 PM,64
12/30/2018 7:46:18 PM,73
12/30/2018 7:46:18 PM,55
12/30/2018 7:46:18 PM,40
12/30/2018 7:46:18 PM,40
12/30/2018 7:46:18 PM,49
12/30/2018 7:46:18 PM,45
12/30/2018 7:46:18 PM,33
12/30/2018 7:46:18 PM,28
12/30/2018 7:46:18 PM,32
12/30/2018 7:46:18 PM,19
12/30/2018 7:46:18 PM,16
12/30/2018 7:46:18 PM,61
12/30/2018 7:46:18 PM,119
12/30/2018 7:46:18 PM,160
12/30/2018 7:46:18 PM,181
12/30/2018 7:46:18 PM,162
12/30/2018 7:46:18 PM,118
12/30/2018 7:46:18 PM,72
12/30/2018 7:46:18 PM,33
12/30/2018 7:46:18 PM,-2
12/30/2018 7:46:18 PM,-17
12/30/2018 7:46:18 PM,-5
12/30/2018 7:46:18 PM,17
12/30/2018 7:46:18 PM,57
12/30/2018 7:46:18 PM,105
12/30/2018 7:46:18 PM,138
12/30/2018 7:46:18 PM,148
12/30/2018 7:46:18 PM,130
12/30/2018 7:46:18 PM,81
12/30/2018 7:46:18 PM,19
12/30/2018 7:46:18 PM,-19
12/30/2018 7:46:18 PM,-24
