Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:00:19 PM,1380,12584,1257,5749,13131,3896,4499,8024,56,80,41,255
12/30/2018 10:00:20 PM,6156,3963,16434,8309,11053,9023,10475,3501,56,91,50,255
12/30/2018 10:00:21 PM,10701,2125,7495,5807,4405,33743,7889,6370,56,81,48,255
12/30/2018 10:00:22 PM,9957,27733,24970,5275,4604,3005,4958,4748,56,66,70,255
12/30/2018 10:00:23 PM,1978,15027,2540,11416,5860,9433,6454,2906,56,56,74,255
12/30/2018 10:00:24 PM,12203,6258,13662,2067,3760,9568,9626,5715,56,48,77,255
12/30/2018 10:00:25 PM,15192,3700,12153,2798,5105,7659,10875,3969,56,53,88,255
12/30/2018 10:00:26 PM,14554,15719,2776,5956,6886,10997,9800,7436,56,63,77,255
12/30/2018 10:00:27 PM,7310,3567,3423,5716,6033,5055,2268,5422,56,69,70,255
12/30/2018 10:00:28 PM,52841,5173,5259,3710,7817,30075,7153,10012,56,74,60,255
12/30/2018 10:00:29 PM,6185,17300,13468,6739,15504,57503,5967,2374,56,74,51,255
12/30/2018 10:00:30 PM,17143,6833,24820,8877,14401,22938,1571,4862,56,75,50,255
12/30/2018 10:00:31 PM,4593,8886,8466,4991,7110,13704,6652,3905,56,66,54,255
12/30/2018 10:00:32 PM,10545,15894,11167,11079,5848,15045,10158,7753,56,63,64,255
12/30/2018 10:00:33 PM,9654,6627,3687,11224,10298,12078,9854,9403,56,70,63,255
12/30/2018 10:00:34 PM,8846,8929,22994,11460,9347,11620,4419,6507,56,69,64,255
12/30/2018 10:00:35 PM,9974,7238,13902,6013,7884,4745,5768,5467,56,74,69,255
12/30/2018 10:00:36 PM,5185,18254,5579,8129,9238,8158,5667,6690,56,78,69,255
12/30/2018 10:00:37 PM,10540,3554,14508,4666,8043,11704,5605,3565,56,74,77,255
12/30/2018 10:00:38 PM,6013,18853,8884,4459,15492,13798,9950,8646,56,77,75,255
12/30/2018 10:00:39 PM,22810,3290,27871,1048,7341,27296,8536,2936,56,67,74,255
12/30/2018 10:00:40 PM,16109,8177,17654,7269,5775,24229,4436,3214,56,60,70,255
12/30/2018 10:00:41 PM,40264,16165,13037,11298,10162,72781,10373,5455,56,51,63,255
12/30/2018 10:00:42 PM,55844,12417,7125,7059,7322,5222,6976,6054,56,50,66,255
12/30/2018 10:00:43 PM,125220,6642,7326,6698,8653,49269,9965,1812,56,51,54,255
12/30/2018 10:00:44 PM,14242,21092,8766,5071,3365,15017,12778,2710,56,48,60,255
