Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 9:58:16 PM,11675,6257,15681,9536,10949,7852,6492,6303,40,78,51,255
12/30/2018 9:58:17 PM,21373,8900,10472,8627,9570,40164,12144,4980,40,74,56,255
12/30/2018 9:58:18 PM,2615,1861,9367,7798,9735,14792,15013,7702,40,83,50,255
12/30/2018 9:58:19 PM,5847,9053,3093,2259,12680,11638,15915,6391,40,83,53,255
12/30/2018 9:58:20 PM,847,9431,6692,9082,24911,17905,7123,7925,40,88,44,255
12/30/2018 9:58:21 PM,3096,2564,7996,9319,19791,23584,11362,9349,40,97,41,255
12/30/2018 9:58:22 PM,17883,3732,53564,13587,21593,14679,21339,8546,40,96,51,255
12/30/2018 9:58:23 PM,4103,13192,21572,4455,12666,12987,7585,7554,40,90,60,255
12/30/2018 9:58:24 PM,9801,10711,19381,5270,30821,8850,14230,9441,40,91,66,255
12/30/2018 9:58:25 PM,129415,20997,8391,13459,12847,17508,18437,13667,40,87,75,255
12/30/2018 9:58:26 PM,15924,2678,2797,4417,33359,15908,7039,16048,40,100,56,255
12/30/2018 9:58:27 PM,2852,27267,17127,7061,9970,19746,8826,7045,40,94,56,255
12/30/2018 9:58:28 PM,19882,13220,15648,9075,22702,13433,4117,6340,40,91,54,255
12/30/2018 9:58:29 PM,8366,8791,13301,8779,9954,10323,30095,4389,40,91,54,255
12/30/2018 9:58:30 PM,3936,16017,13616,5637,12122,3665,28381,5801,40,80,77,255
12/30/2018 9:58:31 PM,2763,4595,2724,4140,18710,9305,15711,10952,40,94,64,255
12/30/2018 9:58:32 PM,10427,537,6591,5803,27097,10360,10565,7980,40,100,53,255
12/30/2018 9:58:33 PM,13077,6576,9072,4579,17677,11664,13981,13328,40,100,50,255
12/30/2018 9:58:34 PM,30606,8599,21960,9587,17200,16339,17407,3807,40,100,43,255
12/30/2018 9:58:35 PM,28489,15754,8918,6964,17054,31239,9535,7959,40,100,50,255
12/30/2018 9:58:36 PM,7775,13907,17335,7331,19285,19702,12945,13399,40,88,61,255
12/30/2018 9:58:37 PM,1496,27640,16098,3935,27124,18362,14892,8064,40,84,66,255
12/30/2018 9:58:38 PM,3032,12166,9556,17293,11741,6416,5935,5263,40,84,64,255
12/30/2018 9:58:39 PM,7573,4653,8000,7987,12644,28815,15213,13158,40,83,60,255
12/30/2018 9:58:40 PM,3853,11053,6563,8950,15975,9360,11442,8787,40,88,56,255
12/30/2018 9:58:41 PM,12640,15697,18062,3716,23842,26134,14168,6121,40,87,54,255
