Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:08:27 PM,8662,14522,5512,3097,5247,20194,2712,2518,59,78,60,255
12/30/2018 10:08:28 PM,13023,4520,21372,3313,7604,14199,9714,9231,59,69,67,255
12/30/2018 10:08:29 PM,13770,2793,4661,8588,13224,10996,3549,2442,59,81,57,255
12/30/2018 10:08:30 PM,9846,6529,13764,13324,7503,13012,10855,7421,59,75,56,255
12/30/2018 10:08:31 PM,3196,5914,11935,3213,11667,14484,10562,6955,59,84,54,255
12/30/2018 10:08:32 PM,2596,12814,12460,10888,5714,4783,7383,5030,59,84,56,255
12/30/2018 10:08:33 PM,7882,1523,7600,9849,14360,7938,3714,3261,59,87,60,255
12/30/2018 10:08:34 PM,5112,1839,19708,6350,9732,10752,9010,6281,59,90,61,255
12/30/2018 10:08:35 PM,3871,7767,16282,3427,4949,21109,6341,9656,59,78,64,255
12/30/2018 10:08:36 PM,12939,4842,13507,5875,5858,18588,10005,7079,59,77,57,255
12/30/2018 10:08:37 PM,22024,7970,15795,5876,6538,8853,9107,2773,59,63,69,255
12/30/2018 10:08:38 PM,4869,7367,7897,7257,8857,26885,6448,3309,59,60,63,255
12/30/2018 10:08:39 PM,2763,1388,8850,5942,8101,4167,4188,2708,59,75,61,255
12/30/2018 10:08:40 PM,8846,9176,13726,2698,6641,18360,6561,5626,59,75,63,255
12/30/2018 10:08:41 PM,3502,21655,6947,5549,5567,12682,10716,3534,59,69,64,255
12/30/2018 10:08:42 PM,5548,2319,2046,3832,5167,12998,6903,5416,59,74,60,255
12/30/2018 10:08:43 PM,5454,4406,7753,12320,13068,11242,15335,3242,59,74,54,255
12/30/2018 10:08:44 PM,14115,46670,24427,5453,6879,26830,8644,5235,59,67,63,255
12/30/2018 10:08:45 PM,5776,23709,16079,4578,5040,4110,8934,3069,59,66,69,255
12/30/2018 10:08:46 PM,4857,5925,6964,4231,7126,10227,9208,3697,59,66,80,255
12/30/2018 10:08:47 PM,4265,7970,21057,4078,7156,12340,4806,4145,59,56,91,255
12/30/2018 10:08:48 PM,3294,6572,10204,5235,5826,9336,4462,5304,59,66,84,255
12/30/2018 10:08:49 PM,6555,6845,30059,8025,8179,41724,11469,4363,59,64,74,255
12/30/2018 10:08:50 PM,7075,24475,16512,13403,8612,17325,3562,4616,59,60,78,255
12/30/2018 10:08:51 PM,2384,3455,20244,21171,6366,10422,6123,2931,59,60,70,255
12/30/2018 10:08:52 PM,28817,3884,3568,3815,7700,29875,10488,8748,59,60,56,255
