Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:09:16 PM,2380,23493,2509,2506,7058,14222,2975,7059,39,70,57,255
12/30/2018 10:09:17 PM,5478,4133,7603,9630,8649,2127,5132,5591,39,83,66,255
12/30/2018 10:09:18 PM,4497,6010,2795,4807,6448,15896,8015,3308,39,84,61,255
12/30/2018 10:09:19 PM,11486,5058,3152,3814,7953,11920,8641,2027,39,87,56,255
12/30/2018 10:09:20 PM,26797,19947,7736,5103,7464,18802,3609,8183,39,84,54,255
12/30/2018 10:09:21 PM,16935,12851,4642,6871,8430,20777,9184,4722,39,77,53,255
12/30/2018 10:09:22 PM,2898,7709,4037,9169,7873,16536,3277,12572,39,78,53,255
12/30/2018 10:09:23 PM,4389,12750,7580,4601,8586,29035,7316,2220,39,69,54,255
12/30/2018 10:09:24 PM,1003,5875,11393,2482,3206,9687,10101,2462,39,66,56,255
12/30/2018 10:09:25 PM,4387,5703,8235,9715,10781,9108,4639,6358,39,74,56,255
12/30/2018 10:09:26 PM,5517,16338,17626,10109,2980,4790,5424,3220,39,61,70,255
12/30/2018 10:09:27 PM,1231,914,2320,6285,6333,13537,5763,2460,39,66,61,255
12/30/2018 10:09:28 PM,2492,5774,1579,3146,7228,8667,4677,9674,39,80,51,255
12/30/2018 10:09:29 PM,15595,6979,2448,8712,3460,2206,5447,3275,39,75,54,255
12/30/2018 10:09:30 PM,21051,6552,10596,5712,9537,16316,10487,5926,39,87,43,255
12/30/2018 10:09:31 PM,3392,9692,11806,4606,9938,17681,4113,3955,39,83,57,255
12/30/2018 10:09:32 PM,5389,13315,13005,6098,4891,10879,9717,4909,39,70,67,255
12/30/2018 10:09:33 PM,7759,9214,9091,8226,3709,20608,8932,3020,39,61,66,255
12/30/2018 10:09:34 PM,15919,15882,6580,11602,7269,16896,8068,6792,39,60,66,255
12/30/2018 10:09:35 PM,10711,6920,5502,4250,11158,9718,8225,7476,39,64,64,255
12/30/2018 10:09:36 PM,9738,6045,37749,3847,7326,10617,8431,2156,39,66,69,255
12/30/2018 10:09:37 PM,25431,3274,1950,10531,16101,7194,5160,5052,39,88,57,255
12/30/2018 10:09:38 PM,12827,8798,3867,4980,5116,9381,9962,9980,39,90,57,255
12/30/2018 10:09:39 PM,3980,4081,7253,7709,21878,14153,5350,6729,39,94,53,255
12/30/2018 10:09:40 PM,9735,6782,5443,8078,3933,19142,4765,7576,39,93,38,255
12/30/2018 10:09:41 PM,9136,18556,10549,2416,7127,18788,23025,8374,39,75,54,255
