Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 7:20:52 PM,20416,11996,5317,9916,19188,11170,4952,441961,75,75,64,255
12/30/2018 7:20:53 PM,8535,7927,4788,8855,8727,21295,8074,490893,75,77,57,255
12/30/2018 7:20:54 PM,247,6038,4076,3294,6873,10139,2823,333176,75,91,57,255
12/30/2018 7:20:55 PM,8385,1945,16422,3888,6324,12023,10889,90839,75,96,63,255
12/30/2018 7:20:56 PM,2906,30605,33714,14674,8603,9337,7688,83881,75,81,74,255
12/30/2018 7:20:57 PM,2540,31794,43329,7131,11250,36816,4057,118379,75,74,83,255
12/30/2018 7:20:58 PM,434543,30519,11101,7704,6675,4850,4214,67990,75,66,94,255
12/30/2018 7:20:59 PM,486822,66247,32464,49806,10365,377275,6484,90292,44,48,84,255
12/30/2018 7:21:00 PM,11965,5033,12193,2973,2213,30181,834,3289,44,40,77,255
12/30/2018 7:21:01 PM,2274,4021,82019,4904,18939,19265,15578,87578,44,47,78,255
12/30/2018 7:21:02 PM,7798,8844,20953,6816,13406,18026,17866,51835,44,51,70,255
12/30/2018 7:21:03 PM,7450,3232,12736,5689,10856,26271,2468,100072,44,70,75,255
12/30/2018 7:21:04 PM,3904,8029,12194,4639,16162,40474,13142,113026,44,87,70,255
12/30/2018 7:21:05 PM,17270,4401,20000,5687,8088,14527,9634,55227,44,87,64,255
12/30/2018 7:21:06 PM,3420,884,5967,2754,15970,26801,19476,50246,44,90,51,255
12/30/2018 7:21:07 PM,9440,21390,37935,7463,18318,15224,16393,55312,44,90,61,255
12/30/2018 7:21:08 PM,14864,13295,22501,4907,11995,10038,8614,81309,44,88,69,255
12/30/2018 7:21:09 PM,12468,6232,32603,18241,14946,5401,14336,95185,44,93,70,255
12/30/2018 7:21:10 PM,8455,30195,7513,4972,13849,13778,8656,68889,44,88,87,255
12/30/2018 7:21:11 PM,10410,16788,11598,4511,35541,23469,5113,100394,44,97,78,255
12/30/2018 7:21:12 PM,83933,11113,38683,12735,19698,10815,6190,68906,44,100,77,255
12/30/2018 7:21:13 PM,8117,2326,6978,2173,2076,22358,1421,13810,44,87,69,255
12/30/2018 7:21:14 PM,142795,4682,26055,13404,14495,28189,6290,91319,44,87,64,255
12/30/2018 7:21:15 PM,13139,4777,5084,4829,11647,75308,6604,71371,44,70,54,255
12/30/2018 7:21:16 PM,79428,1857,23763,18565,9741,3250,4645,56653,44,70,53,255
12/30/2018 7:21:17 PM,23381,1135,1768,2224,3519,3392,2599,15927,44,90,51,255
