Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 9:56:07 PM,1855261,8279,1856,5653,11086,49098,2293,2042,63,60,47,255
12/30/2018 9:56:08 PM,133712,40933,36944,38640,41155,42877,8380,14621,64,70,51,255
12/30/2018 9:56:09 PM,197542,14460,21998,8952,7344,71688,2757,1980,60,53,60,255
12/30/2018 9:56:10 PM,124216,10294,20235,5825,6119,45150,4082,2084,60,53,60,255
12/30/2018 9:56:11 PM,21750,10806,3840,7968,6933,14998,6971,9236,60,54,74,255
12/30/2018 9:56:12 PM,4136,5278,24294,10355,9028,7696,13611,14828,60,51,77,255
12/30/2018 9:56:13 PM,2491,10907,17886,16940,45972,19897,12204,16406,60,74,75,255
12/30/2018 9:56:14 PM,5017,6548,7300,4957,17716,12319,12838,9957,60,91,70,255
12/30/2018 9:56:15 PM,103094,12273,7358,4327,8010,10926,11668,11151,55,93,77,255
12/30/2018 9:56:16 PM,6063,9701,6601,3175,4537,39697,2223,3940,55,84,66,255
12/30/2018 9:56:17 PM,21530,9765,6986,2334,28560,11363,18292,18003,55,84,67,255
12/30/2018 9:56:18 PM,2319,16087,6391,3838,17477,8688,24284,8529,55,83,75,255
12/30/2018 9:56:19 PM,29550,8286,5918,6858,22547,16719,16483,6765,55,90,64,255
12/30/2018 9:56:20 PM,5544,7910,4054,3514,27600,37992,12151,8024,55,100,56,255
12/30/2018 9:56:21 PM,767653,6604,40314,33235,23438,16583,31475,6833,54,97,61,255
12/30/2018 9:56:22 PM,19234,81450,7203,3964,16056,388648,23761,19688,54,75,50,255
12/30/2018 9:56:23 PM,34801,6594,16171,5344,33619,8376,13567,11128,54,78,54,255
12/30/2018 9:56:24 PM,91375,8849,5596,7770,20175,26942,17703,12565,55,77,60,255
12/30/2018 9:56:25 PM,7658,9155,1865,7260,5212,100772,2880,3044,55,61,41,255
12/30/2018 9:56:26 PM,9834,19381,7961,26555,21049,17816,13880,7206,55,81,48,255
12/30/2018 9:56:27 PM,2616,23197,10575,13798,10626,21620,18276,9769,55,67,53,255
12/30/2018 9:56:28 PM,6484,2544,12906,7687,22908,8271,20951,17655,55,75,56,255
12/30/2018 9:56:29 PM,363587,6499,26359,5203,21377,24387,7641,9100,45,91,75,255
12/30/2018 9:56:30 PM,9512,945,6785,3520,2427,38197,5244,2121,45,74,67,255
12/30/2018 9:56:31 PM,15167,7966,4690,8240,46830,22368,21920,7354,45,88,53,255
12/30/2018 9:56:32 PM,8077,7956,20210,2996,36239,8950,13004,7765,45,88,56,255
