Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 7:52:56 PM,4401,4212,15378,7186,15033,4259,10339,21351,70,66,53,255
12/30/2018 7:52:57 PM,5644,9000,4614,8453,14064,18557,15226,15957,70,84,56,255
12/30/2018 7:52:58 PM,3079,8931,3289,13203,14439,5730,8175,24605,70,88,56,255
12/30/2018 7:52:59 PM,3261,2013,9086,3953,15811,6662,9400,26803,70,97,50,255
12/30/2018 7:53:00 PM,4998,10493,11153,5971,8890,13285,14844,12140,70,91,50,255
12/30/2018 7:53:01 PM,1765,16760,11920,11900,12772,29533,14238,9886,70,84,54,255
12/30/2018 7:53:02 PM,26327,22533,2670,6952,17999,12372,27466,9755,70,80,61,255
12/30/2018 7:53:03 PM,174854,12303,15717,20746,12768,26415,16388,22471,70,67,63,255
12/30/2018 7:53:04 PM,47273,7404,9987,23828,12918,17896,7688,15725,70,70,54,255
12/30/2018 7:53:05 PM,10576,18516,21120,5253,10181,36701,12973,7318,70,66,57,255
12/30/2018 7:53:06 PM,3780,7555,19610,18296,20758,11901,13437,15262,70,67,56,255
12/30/2018 7:53:07 PM,22575,20116,21546,8018,6918,52677,10467,11483,70,60,57,255
12/30/2018 7:53:08 PM,4756,5100,13791,8872,7493,11885,10829,23108,70,54,66,255
12/30/2018 7:53:09 PM,42634,25660,8850,12047,32111,11346,25180,24070,70,69,64,255
12/30/2018 7:53:10 PM,10968,3565,8739,21985,11265,115110,20548,21079,70,54,47,255
12/30/2018 7:53:11 PM,8874,14509,33905,7485,17123,11109,9964,10638,70,66,53,255
12/30/2018 7:53:12 PM,552180,2550,11489,12527,34026,13400,11663,16200,70,81,43,255
12/30/2018 7:53:13 PM,16929,1222,10778,13791,25684,41130,13787,10934,70,78,27,255
12/30/2018 7:53:14 PM,15308,14341,13423,6465,14664,14216,20694,16077,70,90,50,255
12/30/2018 7:53:15 PM,21717,8201,11799,6828,20301,10362,9741,11365,70,96,41,255
12/30/2018 7:53:16 PM,20805,11943,10614,14949,23968,9366,21702,32801,70,91,48,255
12/30/2018 7:53:17 PM,12194,6593,8376,2094,13968,17308,11913,14066,70,90,57,255
12/30/2018 7:53:18 PM,402431,28347,20849,11327,8007,21469,14472,4517,70,80,63,255
12/30/2018 7:53:19 PM,82006,4078,28667,13003,11336,10540,21158,9190,70,74,69,255
12/30/2018 7:53:20 PM,10013,21811,14308,10287,8855,21600,7415,23516,70,60,75,255
12/30/2018 7:53:21 PM,6782,20431,14419,9371,12882,5109,18227,11634,70,57,87,255
