Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 7:58:04 PM,66953,12366,9402,18308,8614,20846,8165,66921,64,64,29,255
12/30/2018 7:58:05 PM,10002,5153,4117,12464,13809,9526,4550,43280,64,75,24,255
12/30/2018 7:58:06 PM,31910,30791,36840,11535,13494,32138,10201,53568,64,70,41,255
12/30/2018 7:58:07 PM,8468,8183,18604,7429,21526,24278,14980,69212,64,81,48,255
12/30/2018 7:58:08 PM,15651,11190,17000,15148,6563,7979,13115,43007,64,80,54,255
12/30/2018 7:58:09 PM,3605,8389,13207,12896,18695,11721,3055,55611,64,78,60,255
12/30/2018 7:58:10 PM,6309,10063,20918,10895,6006,24228,7519,51246,64,77,54,255
12/30/2018 7:58:11 PM,12239,2268,8190,7752,5695,18358,12627,42081,64,69,51,255
12/30/2018 7:58:12 PM,4597,8631,2635,4129,4711,14849,5057,44941,64,70,47,255
12/30/2018 7:58:13 PM,11123,4194,14321,7140,14888,6899,8360,42462,64,70,48,255
12/30/2018 7:58:14 PM,3882,1679,20504,9626,11514,44679,13305,47212,64,75,40,255
12/30/2018 7:58:15 PM,5659,2359,29306,6919,10128,17741,15236,85505,64,75,48,255
12/30/2018 7:58:16 PM,6169,8884,26458,14896,9276,4922,7429,41853,64,77,56,255
12/30/2018 7:58:17 PM,3679,6313,554,3294,6240,15890,8469,66146,64,70,48,255
12/30/2018 7:58:18 PM,12593,7072,13029,11275,14707,8625,13489,30061,64,80,53,255
12/30/2018 7:58:19 PM,4389,23304,43438,9448,9583,16521,5618,51884,64,75,60,255
12/30/2018 7:58:20 PM,4044,37584,55252,20154,11379,36688,8543,30297,64,66,61,255
12/30/2018 7:58:21 PM,1841,21142,84185,2709,6361,33547,7642,42686,64,53,80,255
12/30/2018 7:58:22 PM,20542,3512,20260,22177,5419,35927,17056,29929,64,40,77,255
12/30/2018 7:58:23 PM,4039,11187,26168,9147,7618,28639,11312,29806,64,38,67,255
12/30/2018 7:58:24 PM,6939,33119,9757,7732,12395,12821,13923,56598,64,47,67,255
12/30/2018 7:58:25 PM,4377,3429,12529,10393,10729,11692,5405,65809,64,63,53,255
12/30/2018 7:58:26 PM,4151,20129,42348,4437,17547,25117,7637,7296,64,69,64,255
12/30/2018 7:58:27 PM,3685,39659,17085,10129,13142,20722,3978,28353,64,74,69,255
12/30/2018 7:58:28 PM,2027,2738,10132,13306,5445,7587,4326,64559,64,75,61,255
12/30/2018 7:58:29 PM,11253,4748,21857,9606,10424,14925,4027,53158,64,70,64,255
