Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:22:21 PM,13662,6586,6774,6065,6148,18265,7391,24486,56,69,54,255
12/30/2018 10:22:22 PM,1484,1063,9372,4791,8113,12755,5396,24068,56,78,57,255
12/30/2018 10:22:23 PM,2990,19216,12444,7831,12062,10184,8399,20089,56,84,67,255
12/30/2018 10:22:24 PM,10469,7451,8512,15794,7019,22353,10164,33578,56,77,66,255
12/30/2018 10:22:25 PM,8495,6968,4175,4290,21834,9271,3896,15991,56,90,63,255
12/30/2018 10:22:26 PM,9893,7495,6907,1979,15857,17016,17229,18261,56,93,63,255
12/30/2018 10:22:27 PM,3872,10537,10614,8530,17009,29647,9276,13339,56,94,54,255
12/30/2018 10:22:28 PM,21833,14336,4428,17662,6684,10451,7809,36848,56,97,57,255
12/30/2018 10:22:29 PM,5720,24762,12463,2220,9946,17495,5648,7118,56,83,69,255
12/30/2018 10:22:30 PM,7291,8450,26340,4607,8186,8237,6848,25097,56,75,80,255
12/30/2018 10:22:31 PM,1444,13419,31675,3431,11837,7537,12245,40376,56,70,93,255
12/30/2018 10:22:32 PM,6094,2777,19357,2515,10668,3310,12477,24699,56,77,97,255
12/30/2018 10:22:33 PM,9649,13029,20321,4839,9954,8324,5198,14242,56,78,100,255
12/30/2018 10:22:34 PM,4232,5383,15705,5094,24033,16150,12842,8832,56,87,90,255
12/30/2018 10:22:35 PM,13741,11690,38161,10416,17454,14005,13506,12403,56,88,84,255
12/30/2018 10:22:36 PM,8424,7193,19023,1865,7372,8335,3972,10361,56,81,87,255
12/30/2018 10:22:37 PM,13671,12638,28818,2207,10995,20554,14696,10202,56,78,83,255
12/30/2018 10:22:38 PM,44215,6114,19292,4955,6645,25644,13479,26636,56,64,84,255
12/30/2018 10:22:39 PM,33604,7126,2148,1982,13273,25961,11241,36135,56,66,74,255
12/30/2018 10:22:40 PM,38642,10839,8900,16607,22098,49327,18819,32094,56,67,57,255
12/30/2018 10:22:41 PM,5185,6014,21785,2348,24181,13059,9031,12248,56,80,54,255
12/30/2018 10:22:42 PM,4209,4921,7255,9370,13430,18562,10645,7022,56,90,48,255
12/30/2018 10:22:43 PM,6134,4977,8298,11083,26287,18867,6353,17670,56,96,48,255
12/30/2018 10:22:44 PM,6677,12804,7964,13959,19186,11142,11491,19353,56,100,53,255
12/30/2018 10:22:45 PM,37100,7548,10646,6696,17829,15721,14875,11366,56,100,50,255
12/30/2018 10:22:46 PM,1085,3196,19079,15633,13884,16489,18350,8691,56,100,54,255
