Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:25:31 PM,16914,12562,12616,2845,6921,16457,5138,15166,48,64,43,255
12/30/2018 10:25:32 PM,9441,3897,8202,10292,7328,18664,7285,15580,48,78,41,255
12/30/2018 10:25:33 PM,37993,9047,26557,7980,8166,31062,5754,27127,48,66,48,255
12/30/2018 10:25:34 PM,22304,19575,15049,3690,15730,34566,7205,27455,48,60,48,255
12/30/2018 10:25:35 PM,7882,8027,2747,2092,19603,24344,12381,38934,48,70,38,255
12/30/2018 10:25:36 PM,13236,1051,18118,15467,11127,10607,4471,19258,48,75,41,255
12/30/2018 10:25:37 PM,4046,3028,3552,5888,13165,16260,8750,13268,48,88,30,255
12/30/2018 10:25:38 PM,6629,7711,18377,8366,4276,16124,5127,9533,48,81,34,255
12/30/2018 10:25:39 PM,10897,11705,19064,13706,6378,22257,24059,20120,48,67,41,255
12/30/2018 10:25:40 PM,8013,17143,10931,13252,9132,9854,6822,15252,48,64,44,255
12/30/2018 10:25:41 PM,7769,1357,24356,12757,7432,16601,10020,39649,48,54,53,255
12/30/2018 10:25:42 PM,2266,12018,11476,8846,8786,4289,8836,21417,48,64,54,255
12/30/2018 10:25:43 PM,12163,5381,31343,4042,8768,27368,9714,21570,48,64,56,255
12/30/2018 10:25:44 PM,13153,16394,8280,10117,18866,19361,11468,10726,48,70,53,255
12/30/2018 10:25:45 PM,5439,12909,11795,7906,9901,12654,5840,18919,48,75,54,255
12/30/2018 10:25:46 PM,5382,16222,6526,8764,4835,11850,5373,17535,48,66,53,255
12/30/2018 10:25:47 PM,4970,12786,1731,4870,10923,3769,12559,9077,48,80,53,255
12/30/2018 10:25:48 PM,14085,16427,5628,12625,5824,70885,17030,23209,48,63,47,255
12/30/2018 10:25:49 PM,16784,2017,4177,5950,13362,50231,13556,8969,48,63,30,255
12/30/2018 10:25:50 PM,11585,4651,4674,8744,12843,16723,12906,13131,48,74,23,255
12/30/2018 10:25:51 PM,7202,3475,6191,4557,9656,11938,10785,38266,48,70,17,255
12/30/2018 10:25:52 PM,6384,23493,4926,5023,11850,19373,11551,26608,48,83,26,255
12/30/2018 10:25:53 PM,6866,10866,4318,23177,16836,27128,11928,16545,48,88,30,255
12/30/2018 10:25:54 PM,9877,17455,14791,7486,8799,7073,8573,42859,48,81,43,255
12/30/2018 10:25:55 PM,1791,11742,6643,10957,8989,12978,10666,8853,48,77,44,255
12/30/2018 10:25:56 PM,11099,4072,3458,6286,13890,23270,9956,20035,48,81,35,255
