Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:26:17 PM,29964,8936,3882,7975,10525,7330,15450,57294,46,74,43,255
12/30/2018 10:26:18 PM,11598,11420,15809,5648,11006,19326,8006,26967,46,81,40,255
12/30/2018 10:26:19 PM,10562,1716,24443,4980,6430,28039,16852,23076,46,80,43,255
12/30/2018 10:26:20 PM,7230,24062,12385,13566,7164,21379,4691,17557,46,64,50,255
12/30/2018 10:26:21 PM,11114,17092,26002,6057,15016,39471,8396,40501,46,54,51,255
12/30/2018 10:26:22 PM,4209,6695,28150,8035,4239,19732,10410,35420,46,47,54,255
12/30/2018 10:26:23 PM,11823,22457,31865,3399,15106,9353,11582,28951,46,51,61,255
12/30/2018 10:26:24 PM,16949,24013,12874,4370,10641,11691,10859,15308,46,57,64,255
12/30/2018 10:26:25 PM,9021,1574,17412,7266,9644,6998,7690,17354,46,64,66,255
12/30/2018 10:26:26 PM,4775,4561,2885,5247,14493,10700,20787,33434,46,87,56,255
12/30/2018 10:26:27 PM,13253,1585,5046,4468,13129,8144,9690,25926,46,97,43,255
12/30/2018 10:26:28 PM,8107,5922,19357,10156,21625,17316,8709,60292,46,100,37,255
12/30/2018 10:26:29 PM,3868,4366,6520,2805,13908,35919,10164,44578,46,100,26,255
12/30/2018 10:26:30 PM,5076,2061,44393,5046,17270,14957,10741,27776,46,93,37,255
12/30/2018 10:26:31 PM,1007,6281,6874,4838,6466,7118,14902,26076,46,84,44,255
12/30/2018 10:26:32 PM,8412,15977,9294,10381,15131,14170,3982,33990,46,83,44,255
12/30/2018 10:26:33 PM,4541,30537,22573,10307,9363,10377,13567,19168,46,77,60,255
12/30/2018 10:26:34 PM,5661,24169,40151,5887,10366,16697,16746,24114,46,69,63,255
12/30/2018 10:26:35 PM,8868,14938,8462,6837,10768,15492,17350,49433,46,67,61,255
12/30/2018 10:26:36 PM,11679,9384,7798,22413,11477,44629,20362,24434,46,60,54,255
12/30/2018 10:26:37 PM,3706,10233,10539,1818,14804,40665,15477,9006,46,64,44,255
12/30/2018 10:26:38 PM,566057,14238,9252,13883,11958,14619,14024,24538,46,70,38,255
12/30/2018 10:26:39 PM,5562,2603,19296,9114,18025,21343,9724,39676,46,77,35,255
12/30/2018 10:26:40 PM,7132,1027,11317,12386,9129,18581,6981,69470,46,80,37,255
12/30/2018 10:26:41 PM,2769,19363,30802,13371,5990,17678,13493,11174,46,69,44,255
12/30/2018 10:26:42 PM,12343,15712,10622,4856,9128,15608,17098,58459,46,66,48,255
