Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:15:58 PM,9864,6537,15225,6939,31400,15670,8270,53147,72,91,54,255
12/30/2018 10:15:59 PM,755073,517,8288,11835,8856,12014,4942,26246,55,91,48,255
12/30/2018 10:16:00 PM,8648,57645,33817,26763,22175,200395,7099,20703,55,75,44,255
12/30/2018 10:16:01 PM,7847,8993,8867,2855,18555,7277,10968,17896,55,83,53,255
12/30/2018 10:16:02 PM,5887,12155,4465,5987,25009,14268,21508,5452,55,81,53,255
12/30/2018 10:16:03 PM,26201,9661,26479,3805,24166,24526,22331,11700,55,81,61,255
12/30/2018 10:16:04 PM,16869,8718,5930,6963,26478,3969,5859,4215,55,100,63,255
12/30/2018 10:16:05 PM,164176,1679,15295,9501,13257,30888,9839,14321,46,94,56,255
12/30/2018 10:16:06 PM,10563,42919,12382,14522,16624,367503,9534,12293,46,74,47,255
12/30/2018 10:16:07 PM,13980,10277,12054,8327,12485,13595,14627,8442,46,74,44,255
12/30/2018 10:16:08 PM,5545,5983,7351,2638,63294,8236,9667,10972,46,75,38,255
12/30/2018 10:16:09 PM,2572,37763,3975,18257,21023,27142,10024,17570,46,74,43,255
12/30/2018 10:16:10 PM,241005,12172,17331,9034,22614,8606,23047,8696,49,91,60,255
12/30/2018 10:16:11 PM,18086,10039,7095,2295,5391,24288,3669,1927,49,81,60,255
12/30/2018 10:16:12 PM,19918,21960,6902,10296,17345,24862,33147,8395,49,64,70,255
12/30/2018 10:16:13 PM,20986,11219,21043,3379,19153,14619,26322,13502,49,67,75,255
12/30/2018 10:16:14 PM,2051,8246,9005,8858,40068,12181,12686,8230,49,74,64,255
12/30/2018 10:16:15 PM,446204,4708,3853,4571,20172,5838,4686,6275,40,90,60,255
12/30/2018 10:16:16 PM,47112,2902,1693,3218,5598,20833,2681,2768,56,87,47,255
12/30/2018 10:16:17 PM,107386,2096,3674,3958,5039,79047,1909,2262,56,74,21,255
12/30/2018 10:16:18 PM,13605,3692,4317,998,9429,14615,2126,2521,56,64,23,255
12/30/2018 10:16:19 PM,4795,21058,7498,4111,41221,11113,23807,23153,56,63,27,255
12/30/2018 10:16:20 PM,464210,15166,9939,12303,50819,11723,21503,17173,56,77,35,255
12/30/2018 10:16:21 PM,14195,75389,87732,11762,35805,138147,6879,8585,56,81,60,255
12/30/2018 10:16:22 PM,1299742,33364,34927,6721,16273,24326,11126,7347,43,75,75,255
12/30/2018 10:16:23 PM,12581,37891,40247,11587,18831,95621,7004,5725,43,60,77,255
