Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 8:17:43 PM,15399,8519,13784,7269,16553,27440,6236,254376,103,96,91,255
12/30/2018 8:17:44 PM,27082,5305,7403,7164,12344,8551,5326,270582,103,100,88,255
12/30/2018 8:17:45 PM,136470,6599,6733,14542,6348,27723,11550,285769,103,100,75,255
12/30/2018 8:17:46 PM,278758,32914,24621,9566,11519,38996,10778,299567,103,100,74,255
12/30/2018 8:17:47 PM,1772803,11454,13547,3167,4306,14661,12492,247390,38,88,90,255
12/30/2018 8:17:48 PM,42380,15277,15512,9887,9596,86983,26937,195405,38,69,84,255
12/30/2018 8:17:49 PM,430832,6985,2305,16554,6719,35917,7055,282136,41,69,74,255
12/30/2018 8:17:50 PM,43415,20128,19462,29019,23695,180741,8809,272662,41,67,40,255
12/30/2018 8:17:51 PM,14847,11531,17555,14407,10140,51364,13515,268678,41,67,20,255
12/30/2018 8:17:52 PM,51369,3215,14174,18080,13874,7824,9830,227412,41,88,26,255
12/30/2018 8:17:53 PM,4845,8426,6085,10780,10494,30700,17813,222972,41,91,37,255
12/30/2018 8:17:54 PM,7360,4211,9218,8933,6679,8701,16894,248603,41,100,61,255
12/30/2018 8:17:55 PM,7293,7115,7089,4185,17617,28125,14209,247588,41,100,54,255
12/30/2018 8:17:56 PM,5325,890,14486,7733,8206,12682,15146,238808,41,100,60,255
12/30/2018 8:17:57 PM,12872,7994,6044,7971,5808,14898,9720,227810,41,100,67,255
12/30/2018 8:17:58 PM,176632,5202,10675,8570,11354,17738,13995,250182,41,100,61,255
12/30/2018 8:17:59 PM,350459,11435,12996,11990,10887,246594,15922,307364,41,84,44,255
12/30/2018 8:18:00 PM,58577,50222,40321,14790,21379,165504,11840,499880,41,69,43,255
12/30/2018 8:18:01 PM,74392,15580,12188,7307,8974,31182,13446,466113,41,67,48,255
12/30/2018 8:18:02 PM,253670,5975,12138,6700,7849,10438,18895,478927,41,66,60,255
12/30/2018 8:18:03 PM,116994,1665,3300,6285,3420,17727,4527,125330,41,80,70,255
12/30/2018 8:18:04 PM,329095,6030,7453,3043,3241,21632,2549,94410,41,81,74,255
12/30/2018 8:18:05 PM,129031,18384,11694,9390,8024,148028,8229,433127,41,69,54,255
12/30/2018 8:18:06 PM,401903,44415,17041,10471,6796,52426,14469,484215,34,54,57,255
12/30/2018 8:18:07 PM,28053,25515,33864,32808,22835,1254404,7704,439502,34,34,47,255
12/30/2018 8:18:08 PM,1388136,1466,5559,2619,2057,85734,242,30406,34,20,23,255
