Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 8:30:17 PM,14460,1640,11228,2641,5501,16147,6891,32159,58,83,74,255
12/30/2018 8:30:18 PM,7170,13374,8849,9192,8809,38958,11659,36249,58,81,66,255
12/30/2018 8:30:19 PM,13326,12608,7202,12860,5100,19629,6687,34279,58,74,51,255
12/30/2018 8:30:20 PM,5518,2328,3876,10603,9627,3662,6946,47250,58,78,48,255
12/30/2018 8:30:21 PM,5433,2172,791,5260,4731,18260,7050,56339,58,80,24,255
12/30/2018 8:30:22 PM,4706,5918,13942,9280,4609,18705,5564,43028,58,75,30,255
12/30/2018 8:30:23 PM,7201,8339,4083,12672,7758,6564,2685,61166,58,87,29,255
12/30/2018 8:30:24 PM,46560,10795,22386,5088,12028,7199,12059,25405,58,74,53,255
12/30/2018 8:30:25 PM,8475,7216,11722,2481,11771,7402,14884,34826,58,81,81,255
12/30/2018 8:30:26 PM,13031,18479,14524,5006,5799,24026,7538,47797,58,80,88,255
12/30/2018 8:30:27 PM,1762,4801,35819,3415,12989,33749,10201,23503,58,69,96,255
12/30/2018 8:30:28 PM,2512,10054,5533,6723,10502,8237,3549,32668,58,74,84,255
12/30/2018 8:30:29 PM,1020,14297,8590,8355,16582,18503,5499,25242,58,74,77,255
12/30/2018 8:30:30 PM,27789,7302,6619,8895,6402,19170,3172,20620,58,78,64,255
12/30/2018 8:30:31 PM,14760,1784,6024,11833,22204,18067,7210,27825,58,96,43,255
12/30/2018 8:30:32 PM,4342,6969,7680,7140,15831,13366,13523,29905,58,100,38,255
12/30/2018 8:30:33 PM,10126,17882,19001,8664,7684,16678,13557,21901,58,88,48,255
12/30/2018 8:30:34 PM,5448,3279,37179,17964,9067,40020,10574,20643,58,83,51,255
12/30/2018 8:30:35 PM,6614,14695,22541,10974,6299,6439,8615,19881,58,64,83,255
12/30/2018 8:30:36 PM,8724,9415,21646,3305,13749,17286,13772,17649,58,56,93,255
12/30/2018 8:30:37 PM,5490,12182,13445,4518,6224,6857,9178,9542,58,60,96,255
12/30/2018 8:30:38 PM,8387,20712,5996,2426,15448,5881,8392,6054,58,77,100,255
12/30/2018 8:30:39 PM,2049,953,6634,26247,5145,5651,7452,13304,58,88,78,255
12/30/2018 8:30:40 PM,18045,13789,13622,18334,9270,8376,12411,27706,58,87,77,255
12/30/2018 8:30:41 PM,733,6370,9838,6992,4747,20687,8310,14838,58,81,63,255
12/30/2018 8:30:42 PM,3627,1678,10608,8888,12535,11824,25332,12195,58,83,44,255
