Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:49:38 PM,9616,33478,12821,4451,23378,53906,30808,24021,35,66,44,255
12/30/2018 10:49:39 PM,1667,20022,2655,37412,9222,30980,20454,31780,35,70,44,255
12/30/2018 10:49:40 PM,6469,22066,7857,7032,13700,34124,21181,51763,35,61,51,255
12/30/2018 10:49:41 PM,17402,3599,4925,13110,19479,19702,25246,35499,35,69,47,255
12/30/2018 10:49:42 PM,2248,25404,3647,25772,23905,16577,35684,17591,35,77,43,255
12/30/2018 10:49:43 PM,6797,5245,13879,3607,13352,13808,18451,8168,35,81,50,255
12/30/2018 10:49:44 PM,15581,9746,33538,19708,25239,8033,12637,17138,35,90,54,255
12/30/2018 10:49:45 PM,4659,7839,5768,7759,18938,30863,13750,10964,35,87,56,255
12/30/2018 10:49:46 PM,13140,1677,21351,9970,18647,16789,67135,29827,35,87,57,255
12/30/2018 10:49:47 PM,3664,14536,10372,5366,16259,23052,12943,14225,35,84,57,255
12/30/2018 10:49:48 PM,27136,5955,16856,13234,21298,16753,12518,26557,35,87,53,255
12/30/2018 10:49:49 PM,8114,3363,20530,6233,18039,14322,37492,24703,35,87,61,255
12/30/2018 10:49:50 PM,21439,4838,8951,8178,13623,4985,13608,21290,35,88,61,255
12/30/2018 10:49:51 PM,4597,39669,8396,13786,12631,16866,33036,18404,35,83,67,255
12/30/2018 10:49:52 PM,5353,38786,32410,21529,8657,34569,21331,12227,35,67,77,255
12/30/2018 10:49:53 PM,22958,24172,8972,10530,26075,17361,13102,12249,35,69,77,255
12/30/2018 10:49:54 PM,11383,7526,7657,6187,42490,43832,16641,29865,35,69,66,255
12/30/2018 10:49:55 PM,16287,14954,4371,11593,18552,15115,29820,11446,35,78,56,255
12/30/2018 10:49:56 PM,5612,2963,4922,7317,44487,8539,7657,20362,35,100,37,255
12/30/2018 10:49:57 PM,1549,28706,16793,7557,15063,24748,34805,16468,35,94,41,255
12/30/2018 10:49:58 PM,1837,16249,15753,8614,14085,9848,12643,6947,35,88,57,255
12/30/2018 10:49:59 PM,5453,6715,27962,5374,24169,28466,36383,12415,35,83,61,255
12/30/2018 10:50:00 PM,10645,5675,4233,16630,15250,18072,13800,10727,35,74,64,255
12/30/2018 10:50:01 PM,61051,7966,4603,9048,10231,5810,26900,35097,35,80,57,255
12/30/2018 10:50:02 PM,1298,1518,4144,8243,2660,13108,7119,4200,35,74,44,255
12/30/2018 10:50:03 PM,5878,8653,17029,8307,10423,20578,39680,14092,35,69,47,255
