Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 8:51:57 PM,25816,9085,15765,11967,11336,11154,12488,23519,55,64,75,255
12/30/2018 8:51:58 PM,17439,1479,13348,8423,8725,28744,10480,9101,55,77,77,255
12/30/2018 8:51:59 PM,24938,20368,21571,5283,8440,38995,6421,8572,55,69,75,255
12/30/2018 8:52:00 PM,5142,11871,22768,20544,10331,13294,7346,20066,55,74,67,255
12/30/2018 8:52:01 PM,20906,8044,3989,6110,13753,10627,10782,25242,55,78,63,255
12/30/2018 8:52:02 PM,13795,5661,17188,11425,11465,35268,6173,12171,55,77,64,255
12/30/2018 8:52:03 PM,3898,614,10821,9296,7218,19776,4146,20784,55,83,56,255
12/30/2018 8:52:04 PM,6029,16231,29269,10583,8040,15468,4178,21408,55,78,60,255
12/30/2018 8:52:05 PM,16138,4186,23740,7684,6208,9411,8926,20063,55,67,69,255
12/30/2018 8:52:06 PM,10657,9554,12451,2864,4541,12409,11164,12943,55,64,80,255
12/30/2018 8:52:07 PM,25166,3131,15382,4138,8050,8227,3098,30351,55,66,88,255
12/30/2018 8:52:08 PM,3048,5735,32137,6362,12118,10184,4404,10378,55,70,88,255
12/30/2018 8:52:09 PM,2838,6824,17927,9852,6027,9551,4714,11606,55,70,84,255
12/30/2018 8:52:10 PM,8191,2193,7579,14831,12178,6722,9968,11307,55,84,74,255
12/30/2018 8:52:11 PM,16130,6564,13072,8101,9021,6460,9818,43812,55,87,70,255
12/30/2018 8:52:12 PM,19957,16169,19850,5860,14098,16989,6591,8114,55,87,67,255
12/30/2018 8:52:13 PM,714,2016,25625,9716,6106,15846,5190,18520,55,84,66,255
12/30/2018 8:52:14 PM,4979,2986,10370,5738,5683,17067,7627,24727,55,77,70,255
12/30/2018 8:52:15 PM,7786,18368,25133,7307,7857,10435,16062,6601,55,67,78,255
12/30/2018 8:52:16 PM,6852,9258,7979,3591,4392,28075,4776,6153,55,60,74,255
12/30/2018 8:52:17 PM,12104,5471,3949,7010,20837,16845,12054,26260,55,75,61,255
12/30/2018 8:52:18 PM,6956,54006,27013,15839,13101,20743,7511,14519,55,70,70,255
12/30/2018 8:52:19 PM,13324,6255,46368,15115,11785,10693,11106,10227,55,74,67,255
12/30/2018 8:52:20 PM,3475,12721,7279,9060,7635,28263,9075,16915,55,78,67,255
12/30/2018 8:52:21 PM,11323,4174,4742,2905,14684,10495,15387,12608,55,78,70,255
12/30/2018 8:52:22 PM,4936,13989,3765,6694,11945,12402,16955,16675,55,87,61,255
