Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 11:01:48 PM,4536,3659,1529,9084,8630,24168,7854,291271,62,70,53,255
12/30/2018 11:01:50 PM,3007,1610,4577,19112,9138,6767,8340,272187,62,81,30,255
12/30/2018 11:01:51 PM,14147,3209,18940,5785,4869,6202,16054,250629,62,78,43,255
12/30/2018 11:01:52 PM,5354,1036,5788,4536,12383,22445,6914,260758,62,87,21,255
12/30/2018 11:01:53 PM,2887,7010,12783,5278,6051,14022,7382,291208,62,83,38,255
12/30/2018 11:01:53 PM,11480,11940,3303,5632,7718,21211,16632,239801,62,75,47,255
12/30/2018 11:01:55 PM,3967,6287,7728,18778,9104,9625,11703,301736,62,80,35,255
12/30/2018 11:01:56 PM,138604,2548,4559,5036,7030,13311,6719,230297,62,80,40,255
12/30/2018 11:01:57 PM,222114,12799,4699,8157,5220,46544,6786,215851,62,74,30,255
12/30/2018 11:01:58 PM,8591,2242,23043,12013,4360,22559,18729,269472,62,67,35,255
12/30/2018 11:01:59 PM,11162,1268,12696,10206,7667,9863,18209,231630,62,66,38,255
12/30/2018 11:01:59 PM,6264,31436,10535,3863,5833,12131,13123,235343,62,56,54,255
12/30/2018 11:02:00 PM,128142,8110,5923,3373,6547,20896,7691,235274,62,63,57,255
12/30/2018 11:02:02 PM,11100,11518,18907,5996,8127,28737,14563,271740,62,64,60,255
12/30/2018 11:02:02 PM,75125,2015,14937,7318,10952,11867,11423,242451,62,66,60,255
12/30/2018 11:02:04 PM,27615,28996,27628,5791,11909,22320,10615,279401,62,67,57,255
12/30/2018 11:02:05 PM,3948,12510,8547,12140,10035,32378,6705,202265,62,69,56,255
12/30/2018 11:02:06 PM,10193,9621,23970,6487,11936,12179,7228,276984,62,74,61,255
12/30/2018 11:02:07 PM,28896,8216,17212,12604,8276,18756,7970,257758,62,69,61,255
12/30/2018 11:02:07 PM,4173,25543,15191,7003,7360,50190,20228,231230,62,64,54,255
12/30/2018 11:02:09 PM,66133,2757,8967,5868,8680,18066,7770,250654,62,67,53,255
12/30/2018 11:02:09 PM,416100,230,4583,2325,1882,12179,1922,50867,62,61,40,255
12/30/2018 11:02:10 PM,326168,16144,10011,15681,8524,23056,8150,216799,62,57,40,255
12/30/2018 11:02:12 PM,14610,2216,2600,17702,8687,35874,2532,192940,62,66,21,255
12/30/2018 11:02:13 PM,6209,8516,5087,5511,16477,10568,8583,220102,62,75,23,255
12/30/2018 11:02:14 PM,28410,11798,13267,5899,10306,10440,11982,244409,62,81,34,255
