Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 11:06:32 PM,13290,4091,18017,8551,4522,5384,4702,5521,51,78,69,255
12/30/2018 11:06:33 PM,13963,2503,11670,8411,5532,8025,8163,3891,51,81,75,255
12/30/2018 11:06:34 PM,14186,15197,10972,9129,7167,9604,7830,6851,51,90,69,255
12/30/2018 11:06:35 PM,14280,12838,7044,4332,22749,12463,9910,7286,51,94,77,255
12/30/2018 11:06:36 PM,1118,14870,34299,8613,7577,32678,5220,6156,51,90,77,255
12/30/2018 11:06:37 PM,8335,5854,12086,2878,13507,18082,6818,4638,51,93,74,255
12/30/2018 11:06:38 PM,1933,23851,10292,8953,7800,10019,7944,9820,51,93,77,255
12/30/2018 11:06:39 PM,2778,12936,30863,10420,6855,4860,8193,3498,51,80,91,255
12/30/2018 11:06:40 PM,2467,2548,6977,14189,10282,8522,7195,4261,51,96,77,255
12/30/2018 11:06:41 PM,10200,15768,19209,24420,8258,33596,3785,6636,51,87,77,255
12/30/2018 11:06:42 PM,16895,5853,18439,8293,6642,9038,11232,5076,51,87,74,255
12/30/2018 11:06:43 PM,15790,8054,11581,7749,4262,15243,6463,8380,51,84,61,255
12/30/2018 11:06:44 PM,2529,3990,3437,15036,10915,39387,11572,5881,51,77,51,255
12/30/2018 11:06:45 PM,5121,3392,3691,8221,11079,16310,8254,4762,51,87,40,255
12/30/2018 11:06:46 PM,6064,2460,6964,9705,10784,16913,3872,4492,51,94,24,255
12/30/2018 11:06:47 PM,4136,7173,9364,14515,6653,39963,6391,3733,51,93,14,255
12/30/2018 11:06:48 PM,19302,9643,40069,11361,8981,8027,6969,6026,51,90,47,255
12/30/2018 11:06:49 PM,2565,5453,9902,6593,10624,14383,12615,1975,51,88,56,255
12/30/2018 11:06:50 PM,12951,13005,12369,12689,7577,2178,11108,3399,51,84,75,255
12/30/2018 11:06:51 PM,9265,11451,4948,10204,9621,7682,8740,12536,51,94,83,255
12/30/2018 11:06:52 PM,6028,8375,11804,12831,7619,12035,6880,7020,51,97,69,255
12/30/2018 11:06:53 PM,2270,28790,13565,7501,9499,15265,3320,3759,51,93,81,255
12/30/2018 11:06:54 PM,2909,3484,15017,20827,12835,5306,7160,5551,51,97,70,255
12/30/2018 11:06:55 PM,6786,8259,914,7282,4969,3478,2891,5368,51,97,69,255
12/30/2018 11:06:56 PM,3180,8466,13443,2459,7098,8328,5146,2288,51,97,78,255
12/30/2018 11:06:57 PM,8418,20620,23832,3754,4999,5752,9343,7784,51,93,87,255
