Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 8:47:19 PM,11234,4538,5189,4120,9672,49401,5220,2396,80,70,43,255
12/30/2018 8:47:20 PM,6846,1717,13689,2159,8123,11228,14695,12064,80,77,60,255
12/30/2018 8:47:21 PM,1456,5179,7936,6588,9825,16378,12325,3702,80,84,56,255
12/30/2018 8:47:22 PM,24413,15463,3571,8359,7213,46979,11553,2226,80,67,51,255
12/30/2018 8:47:23 PM,2402,13556,2209,5606,15205,15718,16300,5191,80,77,61,255
12/30/2018 8:47:24 PM,14067,22922,7644,5301,6669,5799,17867,10718,80,74,67,255
12/30/2018 8:47:25 PM,2405,19996,7789,5189,7421,15661,7629,7655,80,67,77,255
12/30/2018 8:47:26 PM,161858,3111,5337,8423,8075,6244,11247,4921,70,81,78,255
12/30/2018 8:47:27 PM,12067,24589,18907,15407,8345,113089,13060,3170,70,64,75,255
12/30/2018 8:47:28 PM,2944,13333,2619,1093,11184,15417,3856,14435,70,67,66,255
12/30/2018 8:47:29 PM,4167,5149,2881,7877,6657,33888,13685,6015,70,67,53,255
12/30/2018 8:47:30 PM,2883,21866,5166,12502,11141,7681,15070,7304,70,63,57,255
12/30/2018 8:47:31 PM,4791,2983,6043,7655,6112,8109,3742,3890,70,77,61,255
12/30/2018 8:47:32 PM,2695,24548,6762,4918,6171,8544,7555,6263,70,70,69,255
12/30/2018 8:47:33 PM,2529,4499,36500,5919,14800,22072,8205,4186,70,75,83,255
12/30/2018 8:47:34 PM,124680,22287,16050,5228,12365,25825,7416,2747,31,70,83,255
12/30/2018 8:47:35 PM,397894,11498,6937,521,1660,30361,2146,1070,62,54,87,255
12/30/2018 8:47:36 PM,10502,10015,5890,22515,12351,212412,21473,10705,62,47,60,255
12/30/2018 8:47:37 PM,11125,3041,6541,10399,19677,13713,7343,2327,62,56,48,255
12/30/2018 8:47:38 PM,14225,6302,10738,1949,7634,32322,6869,5305,62,53,43,255
12/30/2018 8:47:39 PM,17641,7507,12227,6438,12875,16674,5783,3921,62,70,41,255
12/30/2018 8:47:40 PM,5212,11038,20648,4755,13345,18013,8912,8181,62,83,63,255
12/30/2018 8:47:41 PM,108686,15399,5352,6942,10739,40913,25602,3336,57,70,66,255
12/30/2018 8:47:42 PM,9383,4003,6258,3915,3236,10530,1252,1283,57,70,69,255
12/30/2018 8:47:43 PM,22703,9712,3814,16487,9486,20963,7357,4152,57,69,64,255
12/30/2018 8:47:44 PM,5486,12804,36888,9074,7557,26055,4480,4488,57,61,66,255
