Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 10:54:45 PM,2239,3596,6117,3958,18376,3826,13198,9775,57,70,53,255
12/30/2018 10:54:46 PM,195668,4366,6116,2941,30011,15436,7830,4810,57,87,48,255
12/30/2018 10:54:47 PM,1632133,18248,27966,7974,45017,333457,14703,26339,45,78,35,255
12/30/2018 10:54:48 PM,15498,11174,29551,31702,64901,205224,20187,11529,45,74,23,255
12/30/2018 10:54:49 PM,10031,5699,15715,8517,19005,19514,11093,2985,45,66,24,255
12/30/2018 10:54:50 PM,1568,10842,5079,9036,19007,20283,14509,8710,45,60,27,255
12/30/2018 10:54:51 PM,6940,7960,10645,5479,26553,35154,11316,8493,45,69,37,255
12/30/2018 10:54:52 PM,5354,13008,5810,11820,21100,34744,12185,9467,45,74,43,255
12/30/2018 10:54:53 PM,518476,1282,7040,4851,24700,2308,16687,20644,43,83,38,255
12/30/2018 10:54:54 PM,49774,74936,28585,7362,34286,402282,11006,6550,43,69,35,255
12/30/2018 10:54:55 PM,8080,964,4243,1725,8930,5274,4198,5189,43,74,37,255
12/30/2018 10:54:56 PM,7764,4163,5526,3770,83681,9691,19477,3947,43,90,26,255
12/30/2018 10:54:57 PM,27041,7420,8757,4787,17253,23262,20967,14555,43,78,29,255
12/30/2018 10:54:58 PM,9259,3929,11281,7600,42902,5155,12906,19250,43,100,30,255
12/30/2018 10:54:59 PM,30787,3686,3455,10297,39889,7598,17707,7317,43,100,21,255
12/30/2018 10:55:00 PM,10783,31308,8297,7027,26149,67974,10669,8335,43,90,34,255
12/30/2018 10:55:01 PM,327514,5617,10453,15559,24663,3429,11539,11467,49,96,35,255
12/30/2018 10:55:02 PM,39510,23686,9322,20054,18536,69570,11450,7550,49,80,37,255
12/30/2018 10:55:03 PM,14149,6056,13277,4485,43054,43879,10435,12273,49,70,41,255
12/30/2018 10:55:04 PM,5587,6222,6122,16180,18810,2773,24754,5020,49,83,40,255
12/30/2018 10:55:05 PM,451923,2366,6591,7065,34285,6364,12595,12326,49,88,34,255
12/30/2018 10:55:06 PM,18925,4494,6444,4278,22279,35457,12014,13256,49,93,26,255
12/30/2018 10:55:07 PM,1572,6853,15372,7071,30269,3120,6965,8982,49,97,37,255
12/30/2018 10:55:08 PM,194374,11147,14789,6566,17157,9955,19448,11850,58,91,43,255
12/30/2018 10:55:09 PM,14718,19838,6338,3256,6464,112869,6165,2447,58,63,44,255
12/30/2018 10:55:10 PM,2228,3204,2254,2022,17953,15007,12955,17951,58,67,43,255
