Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 9:11:16 PM,20685,2477,8536,1278,12979,23220,6125,4242,56,81,41,255
12/30/2018 9:11:17 PM,153530,24722,4420,9497,15639,54306,7340,7609,56,75,38,255
12/30/2018 9:11:18 PM,878701,12507,19585,5991,12210,18291,17420,11531,56,75,51,255
12/30/2018 9:11:19 PM,6878,30251,70491,15598,13073,67215,9765,10356,56,60,60,255
12/30/2018 9:11:20 PM,4597,14188,11464,3489,18847,29300,6670,14787,56,60,66,255
12/30/2018 9:11:21 PM,13746,22297,21494,8120,17504,8890,7616,6298,56,64,78,255
12/30/2018 9:11:22 PM,10573,8016,9854,5257,16269,17334,10049,7101,56,70,70,255
12/30/2018 9:11:23 PM,10226,7505,6866,18406,14954,20271,16478,29541,56,87,57,255
12/30/2018 9:11:24 PM,5139,4189,668,8124,17097,21017,13356,6840,56,93,41,255
12/30/2018 9:11:25 PM,17016,3430,20597,11028,8145,9373,11463,9468,56,88,38,255
12/30/2018 9:11:26 PM,5836,10867,4133,12626,7645,7875,10746,10120,56,87,40,255
12/30/2018 9:11:27 PM,6967,2793,10315,4380,12771,10736,13928,7056,56,88,44,255
12/30/2018 9:11:28 PM,12810,1718,1638,5496,14478,6538,8503,13896,56,94,48,255
12/30/2018 9:11:29 PM,17213,8929,15799,1349,7379,12676,24022,10090,56,93,51,255
12/30/2018 9:11:30 PM,11100,8735,16045,7350,20351,15110,5606,5286,56,96,51,255
12/30/2018 9:11:31 PM,1788,20401,4852,8171,18396,5151,6074,12495,56,96,56,255
12/30/2018 9:11:32 PM,6460,9323,4741,15650,21793,18281,9347,11544,56,90,63,255
12/30/2018 9:11:33 PM,15171,6092,4805,6238,7906,20625,14099,7839,56,91,50,255
12/30/2018 9:11:34 PM,5058,5773,23866,5689,15125,15231,4692,8323,56,90,53,255
12/30/2018 9:11:35 PM,11662,15159,15674,3826,4654,15832,7830,11617,56,74,57,255
12/30/2018 9:11:36 PM,10121,32200,16263,9427,12646,14165,18246,12321,56,63,75,255
12/30/2018 9:11:37 PM,11608,13192,7970,19388,13761,16456,11005,5119,56,66,80,255
12/30/2018 9:11:38 PM,18980,1560,22103,22398,7566,21171,3664,5793,56,60,74,255
12/30/2018 9:11:39 PM,959,23374,7853,21267,15780,11582,8002,19420,56,70,66,255
12/30/2018 9:11:40 PM,14084,9369,34572,13461,10255,14336,10752,7346,56,70,64,255
12/30/2018 9:11:41 PM,19607,63758,13728,12477,18520,16227,6101,7195,56,66,78,255
