Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 11:22:41 PM,113059,7364,43918,6587,13216,14270,15148,32295,58,70,57,255
12/30/2018 11:22:42 PM,10860,6315,7341,2358,5575,28992,6640,4699,58,78,53,255
12/30/2018 11:22:43 PM,13939,8627,15265,2815,17580,19770,15191,30139,58,66,60,255
12/30/2018 11:22:44 PM,9532,8178,5927,5121,14873,12035,14099,30145,58,74,57,255
12/30/2018 11:22:45 PM,6335,5745,8725,2399,16751,13841,15236,9578,58,83,44,255
12/30/2018 11:22:46 PM,4382,10908,15000,10323,16216,21498,17331,19816,58,93,48,255
12/30/2018 11:22:47 PM,10335,15987,14527,6031,11166,22509,9534,25002,58,87,51,255
12/30/2018 11:22:48 PM,5132,22899,3605,8704,12839,24285,18900,24634,58,78,53,255
12/30/2018 11:22:49 PM,4365,27154,30796,9488,29771,17442,40367,35038,58,75,63,255
12/30/2018 11:22:50 PM,4287,7512,13495,7144,14309,42603,13412,9477,58,69,56,255
12/30/2018 11:22:51 PM,16963,4528,11435,8214,17534,7889,10571,29247,58,81,51,255
12/30/2018 11:22:52 PM,5962,1194,5721,6596,20992,67212,30979,17026,58,81,30,255
12/30/2018 11:22:53 PM,12606,9318,4077,22433,31149,22123,8400,15400,58,90,13,255
12/30/2018 11:22:54 PM,84173,6142,33117,9480,32822,35257,12746,26188,58,96,17,255
12/30/2018 11:22:55 PM,4443,7979,4254,6002,6646,13503,2418,6908,58,87,17,255
12/30/2018 11:22:56 PM,456409,56420,69868,3717,22535,20364,12100,9766,58,81,54,255
12/30/2018 11:22:57 PM,8035,8595,18470,14391,16005,47603,23728,18597,58,69,61,255
12/30/2018 11:22:58 PM,10195,4466,23903,19752,15814,12931,10714,35092,58,67,63,255
12/30/2018 11:22:59 PM,1451,1110,6231,8439,32271,7981,16617,21221,58,83,53,255
12/30/2018 11:23:00 PM,7185,5792,9123,3723,16128,5471,16321,20654,58,94,37,255
12/30/2018 11:23:01 PM,13574,13620,9483,12840,20848,13191,21183,18424,58,100,41,255
12/30/2018 11:23:02 PM,11453,7898,11229,1883,24216,10000,13366,15581,58,100,40,255
12/30/2018 11:23:03 PM,6577,17084,12064,16192,23651,7748,16107,15005,58,94,54,255
12/30/2018 11:23:04 PM,1949,37202,47659,25969,48924,17176,19236,17591,58,91,57,255
12/30/2018 11:23:05 PM,4552,8895,56176,6615,19167,8423,11485,11376,58,84,70,255
12/30/2018 11:23:06 PM,5482,4909,27279,17656,13906,6767,14016,14410,58,78,75,255
