Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/30/2018 11:10:38 PM,169005,48555,11910,14854,8300,74877,4408,270928,67,67,56,255
12/30/2018 11:10:39 PM,1630,10699,13519,18136,11575,17754,3086,208333,67,78,56,255
12/30/2018 11:10:40 PM,2197,3526,52847,7275,5881,25523,8947,62287,67,77,74,255
12/30/2018 11:10:41 PM,857745,3472,3863,11035,5953,38125,3970,63314,69,64,60,255
12/30/2018 11:10:42 PM,9900,5680,23830,20077,11212,92004,11335,42741,69,67,51,255
12/30/2018 11:10:43 PM,17259,13787,7952,2024,7494,41762,5668,50967,69,61,50,255
12/30/2018 11:10:44 PM,8819,18204,5414,7428,7353,47521,7155,38637,69,63,38,255
12/30/2018 11:10:45 PM,6936,3117,4450,10014,4057,47518,7951,60794,69,60,37,255
12/30/2018 11:10:46 PM,93738,1449,4891,4088,6731,13517,6473,39652,69,70,38,255
12/30/2018 11:10:47 PM,360443,23968,25138,22046,4192,80905,7422,33607,54,60,38,255
12/30/2018 11:10:48 PM,5108,7276,2876,3591,1574,54339,592,2780,54,48,29,255
12/30/2018 11:10:49 PM,35716,882,10370,6704,6579,34696,17513,47780,54,53,37,255
12/30/2018 11:10:50 PM,20255,11815,32182,3108,10152,22512,4181,56247,54,44,50,255
12/30/2018 11:10:51 PM,12129,7864,7511,9792,8705,16266,4740,38391,54,63,50,255
12/30/2018 11:10:52 PM,8248,4460,12844,9573,6104,12228,9046,64767,54,81,63,255
12/30/2018 11:10:53 PM,896138,5544,4514,6527,10537,27607,3864,40994,54,87,63,255
12/30/2018 11:10:54 PM,2459,20318,8143,11925,5073,190163,3303,29048,54,70,43,255
12/30/2018 11:10:55 PM,6303,3232,3892,9881,5310,27774,4003,35667,54,66,35,255
12/30/2018 11:10:56 PM,8785,9971,8603,10956,5256,27777,4169,55482,54,61,30,255
12/30/2018 11:10:57 PM,6437,15536,19372,1860,7176,5880,10419,43198,54,57,51,255
12/30/2018 11:10:58 PM,40307,35511,18375,6073,4801,6078,6934,54796,54,69,80,255
12/30/2018 11:10:59 PM,1416665,4380,10248,2301,9628,37058,20563,26070,37,70,87,255
12/30/2018 11:11:00 PM,8068,5620,16819,10109,7335,71276,3407,41718,37,69,81,255
12/30/2018 11:11:01 PM,8066,10594,24314,2715,13234,3172,4577,44946,37,74,78,255
12/30/2018 11:11:02 PM,6014,7309,11744,3796,4597,24962,9311,42167,37,77,63,255
12/30/2018 11:11:03 PM,3302,7738,24531,2962,5047,21726,5872,45458,37,69,75,255
