Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 8:24:58 PM,26382,2615,9705,4708,11853,13991,4448,8322,43,74,48,255
1/2/2019 8:24:59 PM,2809,1437,8299,4129,11012,13821,5883,11252,43,75,38,255
1/2/2019 8:25:00 PM,15484,14470,4890,4590,17924,22794,9912,11849,43,80,29,255
1/2/2019 8:25:01 PM,28707,9770,2186,3331,15170,13046,15218,15534,43,94,34,255
1/2/2019 8:25:02 PM,8621,12725,10612,5753,16583,16823,7428,15542,43,94,37,255
1/2/2019 8:25:03 PM,69885,4026,2422,8946,9562,12619,5043,13846,43,96,30,255
1/2/2019 8:25:04 PM,13353,23895,18793,2953,7680,79037,10112,6678,43,81,34,255
1/2/2019 8:25:05 PM,24529,4577,19254,13382,10529,10239,9980,8596,43,75,40,255
1/2/2019 8:25:06 PM,2491,3987,9958,9749,16935,12698,15849,11850,43,78,35,255
1/2/2019 8:25:07 PM,23581,2415,1140,11623,10525,1129,7441,12185,43,87,30,255
1/2/2019 8:25:08 PM,9807,5086,5883,6261,9705,11064,9359,14968,43,100,29,255
1/2/2019 8:25:09 PM,18927,8806,31693,6176,8072,14670,16667,11094,43,93,37,255
1/2/2019 8:25:10 PM,9029,17136,164645,6988,13832,21804,7876,8802,43,75,61,255
1/2/2019 8:25:11 PM,10411,13134,274725,6000,9037,4519,6532,7914,43,41,94,255
1/2/2019 8:25:12 PM,12962,8570,62665,10695,13073,11712,25057,12806,43,34,100,255
1/2/2019 8:25:13 PM,4761,11777,67841,14337,19873,4568,7047,26832,43,37,100,255
1/2/2019 8:25:14 PM,75768,6767,6945,10561,6700,17029,4978,17071,43,44,74,255
1/2/2019 8:25:15 PM,2194,1043,15552,2399,3398,11814,6218,2819,43,56,51,255
1/2/2019 8:25:16 PM,964,12526,21861,6077,7825,10850,7766,23077,43,56,50,255
1/2/2019 8:25:17 PM,8732,10244,19981,11174,18610,25098,13788,12131,43,60,40,255
1/2/2019 8:25:18 PM,11216,11817,52119,7003,8870,5328,5467,16504,43,56,54,255
1/2/2019 8:25:19 PM,471,25101,117816,17806,9825,11585,7056,13763,43,51,64,255
1/2/2019 8:25:20 PM,5283,3833,13021,4668,12291,7491,17372,13664,43,60,60,255
1/2/2019 8:25:21 PM,4387,24332,33043,3445,7736,11347,2922,11331,43,51,74,255
1/2/2019 8:25:22 PM,20443,15333,31685,9567,17485,13030,16344,14768,43,57,64,255
1/2/2019 8:25:23 PM,533942,16038,12925,9112,12090,13641,8126,10076,43,67,53,255
