Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 8:18:36 PM,5284,7833,6148,7682,9312,21253,6537,104771,61,87,48,255
1/2/2019 8:18:37 PM,20126,4974,10236,4308,4708,11266,4227,83762,61,87,51,255
1/2/2019 8:18:38 PM,33084,5107,2620,3701,6608,11402,8436,101880,61,81,50,255
1/2/2019 8:18:39 PM,12190,7861,10312,13205,12878,16365,13252,67535,61,78,51,255
1/2/2019 8:18:40 PM,433135,3617,4143,5804,3439,11981,2656,83175,61,75,53,255
1/2/2019 8:18:41 PM,47335,13421,15399,6056,4816,20809,7855,66537,61,67,54,255
1/2/2019 8:18:42 PM,9955,6240,4778,7240,8057,10360,6159,86701,61,69,54,255
1/2/2019 8:18:43 PM,9252,5723,4023,12610,12253,8133,6797,98579,61,75,51,255
1/2/2019 8:18:44 PM,8323,1590,4861,7118,7162,9860,6632,70408,61,81,48,255
1/2/2019 8:18:45 PM,28855,347,9065,4767,9403,15315,5405,88792,61,93,38,255
1/2/2019 8:18:46 PM,8813,12506,2830,8812,8469,9476,3356,98754,61,93,40,255
1/2/2019 8:18:47 PM,27508,3117,12219,3681,12659,7243,3197,88956,61,91,48,255
1/2/2019 8:18:48 PM,6298,28700,7020,6768,4830,29428,7647,74295,61,78,60,255
1/2/2019 8:18:49 PM,8176,4196,9902,13372,9223,12782,5318,84243,61,77,61,255
1/2/2019 8:18:50 PM,11102,15415,3912,1946,9065,9813,1283,57548,61,75,66,255
1/2/2019 8:18:51 PM,5123,9638,13562,4630,5221,33954,5786,76865,61,60,64,255
1/2/2019 8:18:52 PM,19931,5780,5999,3257,7868,18357,10261,90085,61,70,57,255
1/2/2019 8:18:53 PM,15208,18583,27100,7636,5367,8774,5926,86027,61,60,75,255
1/2/2019 8:18:54 PM,1429,5685,10940,8980,11048,16763,3458,73899,61,60,67,255
1/2/2019 8:18:55 PM,9086,5045,3990,4137,8886,7653,4759,85263,61,75,66,255
1/2/2019 8:18:56 PM,14192,3043,3311,4922,4616,11063,5600,78485,61,75,63,255
1/2/2019 8:18:57 PM,25153,7755,3156,6027,5656,12911,5602,88959,61,81,48,255
1/2/2019 8:18:58 PM,26169,870,9333,8248,10578,18029,3822,95921,61,84,41,255
1/2/2019 8:18:59 PM,9681,1944,6475,4393,8998,3722,5400,82674,61,88,43,255
1/2/2019 8:19:00 PM,17557,1505,10199,2617,4615,18325,6007,90047,61,83,48,255
1/2/2019 8:19:01 PM,17091,8161,10346,3847,8666,42156,11164,116284,61,80,47,255
