Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:13:14 PM,202985,3185,15483,5169,5126,16434,2399,83814,44,87,83,255
1/2/2019 10:13:15 PM,3466,13541,1242,5959,4094,20650,2860,86011,44,81,90,255
1/2/2019 10:13:16 PM,71135,3579,11393,3542,4283,2844,4609,104846,44,74,97,255
1/2/2019 10:13:17 PM,23060,10328,7942,5987,8454,5366,3495,110721,44,83,97,255
1/2/2019 10:13:18 PM,5691,5264,1766,3918,3120,5060,4921,108905,44,91,96,255
1/2/2019 10:13:19 PM,15115,10010,14135,4223,5649,4622,3204,89590,44,97,100,255
1/2/2019 10:13:20 PM,16447,2650,14284,2961,3560,6620,2326,116347,44,91,100,255
1/2/2019 10:13:21 PM,8922,7417,53707,7041,6086,20743,4677,121622,44,69,100,255
1/2/2019 10:13:22 PM,37706,2562,6574,4800,6258,14647,3389,98127,44,69,100,255
1/2/2019 10:13:23 PM,77475,34564,10450,15692,6898,19048,8009,97434,44,61,100,255
1/2/2019 10:13:24 PM,6691,6528,5085,5297,1502,21943,952,20254,44,43,90,255
1/2/2019 10:13:25 PM,6173,6768,3839,4134,7081,6892,2147,100045,44,66,80,255
1/2/2019 10:13:26 PM,16354,14206,3166,11918,2650,51450,3232,96141,44,40,77,255
1/2/2019 10:13:27 PM,7060,7181,20175,3844,8219,26575,3126,107318,44,44,74,255
1/2/2019 10:13:28 PM,35725,5600,26818,8934,3182,3548,5458,99317,44,54,90,255
1/2/2019 10:13:29 PM,10499,21934,28183,3387,4192,28816,4771,109726,44,29,97,255
1/2/2019 10:13:30 PM,19124,2582,29214,3295,3122,17924,3931,104597,44,37,100,255
1/2/2019 10:13:31 PM,23688,9570,12544,4981,2455,10137,2201,122559,44,26,100,255
1/2/2019 10:13:32 PM,43055,5893,25040,4026,6534,10596,3815,105140,44,34,100,255
1/2/2019 10:13:33 PM,9022,3224,18044,7026,7402,17495,2401,119011,44,50,100,255
1/2/2019 10:13:34 PM,3169,6269,89797,1921,5180,6057,1724,123173,44,47,100,255
1/2/2019 10:13:35 PM,10180,10273,35863,6642,4460,4632,8238,120190,44,50,100,255
1/2/2019 10:13:36 PM,11254,4958,20949,2059,9765,13880,3964,113436,44,56,97,255
1/2/2019 10:13:37 PM,83179,35271,10655,3972,10947,15538,9016,130959,44,53,96,255
1/2/2019 10:13:38 PM,1250797,25877,27114,10102,13677,71625,35803,64662,57,63,77,255
1/2/2019 10:13:39 PM,870683,29333,38859,30170,24739,217490,17134,22163,57,63,57,255
