Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 8:34:18 PM,10150,10129,84229,4133,4942,5312,3630,5603,46,38,70,255
1/2/2019 8:34:19 PM,7388,3445,56783,3254,6486,14029,1708,2805,46,35,77,255
1/2/2019 8:34:20 PM,10258,18508,34255,4462,5210,29248,3325,6094,46,27,80,255
1/2/2019 8:34:21 PM,11541,19225,15955,8446,4112,25955,2211,3402,46,34,87,255
1/2/2019 8:34:22 PM,9867,17213,15533,5688,7537,18867,2896,4644,46,43,70,255
1/2/2019 8:34:23 PM,11558,2502,3799,1337,2514,10989,3519,8033,46,47,56,255
1/2/2019 8:34:24 PM,19311,1901,9585,2682,4125,6962,7187,7687,46,56,53,255
1/2/2019 8:34:25 PM,4155,5200,11935,11606,7611,14252,1828,9552,46,64,48,255
1/2/2019 8:34:26 PM,2376,6581,7601,5730,5343,19273,2243,6976,46,64,43,255
1/2/2019 8:34:27 PM,1871,5212,31546,1499,4775,15806,4298,6653,46,63,53,255
1/2/2019 8:34:28 PM,2154,7503,101158,6138,5307,12677,4344,4859,46,50,67,255
1/2/2019 8:34:29 PM,5403,21639,12670,2159,7547,12951,2218,11679,46,47,77,255
1/2/2019 8:34:30 PM,10015,5354,2681,11183,5313,31860,2514,7498,46,47,67,255
1/2/2019 8:34:31 PM,4900,42702,61242,6374,5131,11937,4732,7875,46,40,77,255
1/2/2019 8:34:32 PM,2714,14513,8834,6316,2667,20417,4222,9003,46,43,61,255
1/2/2019 8:34:33 PM,5428,19049,30525,2709,6425,9026,4934,16210,46,40,66,255
1/2/2019 8:34:34 PM,2077,15106,62326,7004,12061,3674,4589,11430,46,40,90,255
1/2/2019 8:34:35 PM,8097,6901,11111,7619,3681,14356,3507,6072,46,48,75,255
1/2/2019 8:34:36 PM,10246,6681,5310,2176,3015,8645,2851,13846,46,53,77,255
1/2/2019 8:34:37 PM,12557,19535,8145,3879,9161,35642,1755,15706,46,54,63,255
1/2/2019 8:34:38 PM,10070,2822,6440,9689,2712,10809,2201,8258,46,54,47,255
1/2/2019 8:34:39 PM,11767,2885,4841,1979,7033,5619,2618,5880,46,66,44,255
1/2/2019 8:34:40 PM,12156,3154,2431,7195,5580,13318,1913,9018,46,70,34,255
1/2/2019 8:34:41 PM,3855,3396,2998,1499,9450,8695,4325,8053,46,84,27,255
1/2/2019 8:34:42 PM,4373,1796,1449,3521,9468,6983,2618,6720,46,100,21,255
1/2/2019 8:34:43 PM,97395,14441,3406,1717,6879,10095,5967,10898,46,94,24,255
