Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 8:49:43 PM,21197,1511,7119,3493,4957,6915,4587,7670,45,75,30,255
1/2/2019 8:49:45 PM,153187,6414,8224,10011,6278,7999,6859,10154,51,67,37,255
1/2/2019 8:49:45 PM,28531,10260,8617,3971,5083,58834,1347,6180,51,61,26,255
1/2/2019 8:49:46 PM,25527,3428,15241,7530,4035,30903,5317,18769,51,47,27,255
1/2/2019 8:49:47 PM,17631,4686,12333,4149,4265,8185,2907,15521,51,41,34,255
1/2/2019 8:49:48 PM,268419,6800,35527,13172,9063,23134,4484,6229,51,35,38,255
1/2/2019 8:49:49 PM,13843,1923,5854,3125,3300,16740,3785,1271,51,41,40,255
1/2/2019 8:49:50 PM,14282,14944,77623,4417,4533,13300,4274,5588,51,37,63,255
1/2/2019 8:49:52 PM,4511,6838,34740,8348,9882,8699,7970,4560,51,37,66,255
1/2/2019 8:49:52 PM,5614,9762,80799,9609,5976,15184,7482,4175,51,27,78,255
1/2/2019 8:49:53 PM,23267,4169,34515,8161,4297,76852,6289,3831,51,14,80,255
1/2/2019 8:49:54 PM,12441,6932,19379,5367,11616,17636,4821,5318,51,34,61,255
1/2/2019 8:49:56 PM,18474,8794,8463,3925,9152,6657,9652,4986,51,40,56,255
1/2/2019 8:49:56 PM,74718,23844,13532,9030,4345,14489,8015,3260,51,44,50,255
1/2/2019 8:49:57 PM,9027,2179,4547,3750,3188,7122,767,1360,51,63,51,255
1/2/2019 8:49:59 PM,8896,5406,81974,2691,8101,2940,7447,2893,51,51,74,255
1/2/2019 8:49:59 PM,2097,2287,90020,5304,5440,19382,5370,3132,51,30,84,255
1/2/2019 8:50:01 PM,8222,5851,37885,11787,11511,51286,5404,16001,51,35,75,255
1/2/2019 8:50:01 PM,3099,1154,61134,3757,16256,10636,10151,56703,51,35,90,255
1/2/2019 8:50:02 PM,3132,10331,72140,12547,13656,5162,9465,50818,51,40,81,255
1/2/2019 8:50:04 PM,12843,7160,14457,13165,8966,16108,4017,56839,51,56,64,255
1/2/2019 8:50:04 PM,10662,4068,163975,3224,5735,4796,5856,52280,51,43,88,255
1/2/2019 8:50:05 PM,17513,29882,108881,3564,6019,37389,7734,47071,51,24,87,255
1/2/2019 8:50:06 PM,6573,8337,33912,6348,13101,11321,9128,51772,51,27,77,255
1/2/2019 8:50:07 PM,10832,63604,40502,3745,5888,21905,4674,59843,51,11,88,255
1/2/2019 8:50:09 PM,11098,9188,28059,5043,11154,7089,2831,62825,51,30,70,255
