Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/7/2019 10:08:35 PM,10630,2526,9370,5641,20942,33455,7900,74974,43,83,63,255
1/7/2019 10:08:36 PM,28913,1713,5760,13988,13134,5582,5397,54519,43,96,50,255
1/7/2019 10:08:37 PM,699,39177,136064,7625,8247,23612,5892,19028,43,74,74,255
1/7/2019 10:08:38 PM,5516,27848,28256,8486,10304,2695,6860,23051,43,75,70,255
1/7/2019 10:08:39 PM,18634,10381,62318,13670,19241,9745,7275,25472,43,69,91,255
1/7/2019 10:08:40 PM,10798,3647,91292,8200,11444,30824,10339,37242,43,48,100,255
1/7/2019 10:08:41 PM,3030,2658,27718,11140,6571,6490,4352,22743,43,60,96,255
1/7/2019 10:08:42 PM,8267,3698,17578,11129,15660,5781,7577,14194,43,69,81,255
1/7/2019 10:08:43 PM,10100,1755,28374,3362,9518,21136,9020,25672,43,67,75,255
1/7/2019 10:08:44 PM,6055,12136,18073,14226,13590,13485,4357,42181,43,80,63,255
1/7/2019 10:08:45 PM,2885,2761,43253,6202,12013,15441,4455,25143,43,81,63,255
1/7/2019 10:08:46 PM,10720,15677,121937,9059,11931,9753,5992,13344,43,63,83,255
1/7/2019 10:08:47 PM,3730,5785,22361,12205,14754,6194,10851,21118,43,69,83,255
1/7/2019 10:08:48 PM,6364,715,40555,21674,8540,10123,3587,22948,43,64,87,255
1/7/2019 10:08:49 PM,4721,1405,82204,9796,16563,13928,8552,27335,43,64,93,255
1/7/2019 10:08:50 PM,20282,5932,3021,20727,11371,4904,7760,21762,43,87,61,255
1/7/2019 10:08:51 PM,15254,24083,24335,10901,5737,10668,8153,15891,43,74,69,255
1/7/2019 10:08:52 PM,80053,5973,14933,7592,19111,39222,12223,21224,43,78,56,255
1/7/2019 10:08:53 PM,11622,7704,5614,1551,2926,12173,2391,7729,43,75,44,255
1/7/2019 10:08:54 PM,10840,22295,34030,3249,18120,13790,11939,14704,43,63,64,255
1/7/2019 10:08:55 PM,5577,13881,40826,8068,10950,10716,8050,11201,43,67,66,255
1/7/2019 10:08:56 PM,13101,9961,5419,5220,21663,10124,9192,28109,43,77,69,255
1/7/2019 10:08:57 PM,4368,6101,109502,4261,10623,15164,16696,10185,43,74,88,255
1/7/2019 10:08:58 PM,9275,8442,26155,18220,15889,11194,5842,26982,43,77,80,255
1/7/2019 10:08:59 PM,29774,11032,49480,7204,6858,23899,2319,23620,43,69,78,255
1/7/2019 10:09:00 PM,1981,12967,21391,1884,30752,32938,6176,22836,43,64,81,255
