Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 8:40:22 PM,31021,7278,18251,13763,5031,11981,9178,37857,63,60,66,255
1/2/2019 8:40:23 PM,18432,6810,11402,9950,7525,3946,9353,32947,63,64,66,255
1/2/2019 8:40:24 PM,27442,3163,6370,9284,9531,5212,9288,20248,63,80,61,255
1/2/2019 8:40:25 PM,90337,3836,8619,8774,3633,5482,3383,39768,63,87,61,255
1/2/2019 8:40:26 PM,79454,10084,5124,5682,12446,22233,11649,55648,63,94,56,255
1/2/2019 8:40:27 PM,77541,3724,10849,26881,4010,18871,12117,26633,63,84,50,255
1/2/2019 8:40:28 PM,1613874,4865,15967,16114,7707,14254,14222,37234,63,75,51,255
1/2/2019 8:40:29 PM,36624,30350,1196,12323,16362,78553,12221,43162,63,70,44,255
1/2/2019 8:40:30 PM,3912,2681,5964,13856,14064,24173,9946,10832,63,74,38,255
1/2/2019 8:40:31 PM,66322,4103,12590,9612,9776,11954,16231,57223,63,83,43,255
1/2/2019 8:40:32 PM,3073,6109,15669,11164,5908,16494,7493,35461,63,80,43,255
1/2/2019 8:40:33 PM,4693,3060,8824,11048,7206,6007,12702,40321,63,90,48,255
1/2/2019 8:40:34 PM,2302059,8245,8024,3708,19472,11224,6119,28122,63,94,54,255
1/2/2019 8:40:35 PM,72681,23595,22365,33505,26716,150584,14389,60337,63,87,48,255
1/2/2019 8:40:36 PM,1414011,9095,6496,1446,1433,128682,4035,4276,63,63,37,255
1/2/2019 8:40:37 PM,341337,23231,49409,24510,13606,120213,19730,22576,63,48,35,255
1/2/2019 8:40:38 PM,763451,11533,10695,9459,5274,62294,4100,4636,34,26,30,255
1/2/2019 8:40:39 PM,937413,115651,40545,20415,28095,135659,25793,27369,34,21,43,255
1/2/2019 8:40:40 PM,1729834,44474,38174,10878,16348,278375,16105,20934,34,35,50,255
1/2/2019 8:40:41 PM,853152,36932,5680,22013,30993,40277,26365,23662,34,50,50,255
1/2/2019 8:40:42 PM,1105866,12131,7211,5691,6163,120623,2774,4230,34,47,44,255
1/2/2019 8:40:43 PM,721907,7359,28926,16630,10257,95982,15401,15199,34,44,37,255
1/2/2019 8:40:44 PM,1108671,22411,8607,34609,19519,364211,18384,17002,34,44,27,255
1/2/2019 8:40:45 PM,1941297,31024,37987,21699,7307,107291,27326,21420,36,26,27,255
1/2/2019 8:40:46 PM,374022,22552,54086,27799,33592,349922,33048,21585,36,30,30,255
1/2/2019 8:40:47 PM,858552,10559,14539,6719,12427,73250,12456,18434,43,37,29,255
