Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:28:59 PM,4877,13846,12987,8067,32208,76218,27335,341677,40,80,34,255
1/2/2019 10:29:00 PM,10913,5519,33145,48220,14122,10739,19837,165451,40,64,37,255
1/2/2019 10:29:01 PM,120706,7226,6647,7241,21043,25067,7775,151269,40,70,44,255
1/2/2019 10:29:02 PM,99183,17522,3593,16393,10930,24521,35385,145918,40,75,53,255
1/2/2019 10:29:03 PM,51517,1541,2130,1620,3651,19593,12508,34575,40,69,50,255
1/2/2019 10:29:04 PM,29385,23900,15978,9658,32365,65352,42255,157622,40,70,44,255
1/2/2019 10:29:05 PM,56713,9190,13164,11328,77020,19179,27158,193693,40,81,43,255
1/2/2019 10:29:06 PM,534092,11531,6382,6886,14373,24287,15851,111910,40,84,41,255
1/2/2019 10:29:07 PM,153018,19540,23842,21572,22611,78092,10477,81926,40,84,50,255
1/2/2019 10:29:08 PM,7477,11436,9252,13407,20544,121575,14429,88831,40,80,41,255
1/2/2019 10:29:09 PM,1299290,8855,18666,15002,19727,5762,20494,101841,40,69,53,255
1/2/2019 10:29:10 PM,7658,22215,12310,19179,34641,93289,40929,195672,40,67,50,255
1/2/2019 10:29:11 PM,58482,6356,39980,32470,29150,24323,42104,155153,40,74,53,255
1/2/2019 10:29:12 PM,24783,18168,10505,7106,11783,33805,23242,120291,40,75,66,255
1/2/2019 10:29:13 PM,55491,27906,4166,7653,13901,28492,17714,135805,40,67,66,255
1/2/2019 10:29:14 PM,529447,29596,13671,30232,45295,29313,28107,184358,40,75,70,255
1/2/2019 10:29:15 PM,5646,9540,53726,9749,15237,161832,29967,150014,40,61,66,255
1/2/2019 10:29:16 PM,423817,15647,6865,15912,35700,23844,13268,118917,48,74,60,255
1/2/2019 10:29:17 PM,62799,41292,16783,35579,31597,81877,34839,169977,48,74,54,255
1/2/2019 10:29:18 PM,1147,20863,10311,27469,18260,14787,17967,102208,48,67,56,255
1/2/2019 10:29:19 PM,18579,8942,8168,21536,8000,24528,35025,156517,48,77,56,255
1/2/2019 10:29:20 PM,86276,2856,11288,13349,38358,15889,28670,73345,48,80,53,255
1/2/2019 10:29:21 PM,767634,10503,13904,26449,16473,95701,19891,190177,48,77,44,255
1/2/2019 10:29:22 PM,25016,18324,23607,10043,19571,82013,23423,155018,48,69,41,255
1/2/2019 10:29:23 PM,572615,10863,15109,47679,25962,14703,20650,143212,48,80,41,255
1/2/2019 10:29:24 PM,134481,6145,53357,14224,18251,83318,20471,151505,48,61,51,255
