Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:31:30 PM,54524,16078,11782,14510,14439,39374,33004,121604,37,69,26,255
1/2/2019 10:31:31 PM,477851,17225,17288,39274,27102,82303,19500,140325,37,84,47,255
1/2/2019 10:31:32 PM,398075,3330,811,936,2234,14405,1727,8869,37,63,44,255
1/2/2019 10:31:33 PM,159156,24581,35709,12906,15978,58484,31640,123097,37,54,61,255
1/2/2019 10:31:34 PM,1284317,7054,998,8638,11705,10182,7412,25364,37,64,57,255
1/2/2019 10:31:35 PM,94761,123285,23558,15210,45118,212926,21979,121335,37,60,64,255
1/2/2019 10:31:36 PM,154164,55436,22107,20041,43028,106528,29530,82313,37,66,69,255
1/2/2019 10:31:37 PM,514236,7633,5577,4703,10105,23776,10984,36841,37,69,63,255
1/2/2019 10:31:38 PM,39967,20861,12895,49947,70072,127161,36484,158465,37,67,56,255
1/2/2019 10:31:39 PM,909651,12506,27239,12836,57035,11221,35616,190768,37,84,56,255
1/2/2019 10:31:40 PM,29782,68037,25941,15216,23878,92659,34515,82243,37,80,60,255
1/2/2019 10:31:41 PM,349989,6801,19423,37478,19086,44091,32753,101144,37,80,57,255
1/2/2019 10:31:42 PM,9360,73421,10425,19652,15345,22620,36820,116439,37,70,78,255
1/2/2019 10:31:43 PM,7794,7541,11196,10171,7206,10375,34228,141271,37,57,81,255
1/2/2019 10:31:44 PM,7178,15300,18324,38240,16910,13780,14251,170580,37,67,80,255
1/2/2019 10:31:45 PM,1882,4421,14205,16895,22649,9831,21497,62921,37,77,83,255
1/2/2019 10:31:46 PM,425148,3844,4215,10732,19899,6750,16600,200505,34,94,66,255
1/2/2019 10:31:47 PM,741506,12579,24299,11221,7823,207875,5496,34688,34,78,53,255
1/2/2019 10:31:48 PM,2407526,69582,30115,23498,16854,120224,27085,131436,34,66,56,255
1/2/2019 10:31:49 PM,162239,63930,134576,25871,32109,98846,28052,116173,34,50,66,255
1/2/2019 10:31:50 PM,174019,6741,31706,9114,34188,37231,27246,80102,34,41,75,255
1/2/2019 10:31:51 PM,498046,32567,18748,8466,7523,29130,6685,23280,34,50,91,255
1/2/2019 10:31:52 PM,1180923,9671,9165,4711,1971,26628,2855,7994,49,44,90,255
1/2/2019 10:31:53 PM,825117,30827,15653,28972,8972,85674,11273,41991,49,40,78,255
1/2/2019 10:31:54 PM,2678973,12193,14790,3421,7316,83357,5555,43677,49,24,74,255
1/2/2019 10:31:55 PM,2808111,83308,29690,30546,36419,323488,102791,68727,49,23,61,255
