Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:34:15 PM,905267,12223,61784,22287,58604,132821,26177,77227,45,66,53,255
1/2/2019 10:34:16 PM,1298304,81467,149054,39787,53434,148378,54111,186351,45,61,61,255
1/2/2019 10:34:17 PM,1499641,60593,33473,28070,31593,488848,38922,77174,45,56,54,255
1/2/2019 10:34:18 PM,348815,24403,20087,47251,45870,99477,34265,86142,45,60,60,255
1/2/2019 10:34:19 PM,148589,41736,40778,31253,38028,740178,36071,165249,45,47,48,255
1/2/2019 10:34:20 PM,9408,24048,15686,6600,8979,56046,11730,15858,45,43,43,255
1/2/2019 10:34:21 PM,128113,6168,15121,6137,32761,13993,27884,86815,45,64,51,255
1/2/2019 10:34:22 PM,31050,623,6385,13341,15399,22534,7459,23363,45,67,47,255
1/2/2019 10:34:23 PM,1707231,7870,19802,21482,19280,22028,44158,65768,45,84,60,255
1/2/2019 10:34:24 PM,13037,70213,34598,34884,61892,698589,54295,134062,45,83,47,255
1/2/2019 10:34:25 PM,89329,47763,2306,22717,22822,30609,18883,88443,45,75,50,255
1/2/2019 10:34:26 PM,560977,15010,14437,7282,5446,28105,7814,12675,45,60,66,255
1/2/2019 10:34:27 PM,262346,10407,21019,29507,83900,59077,50097,146303,45,66,60,255
1/2/2019 10:34:28 PM,54999,28368,26337,40043,43061,42675,62520,82347,45,80,69,255
1/2/2019 10:34:29 PM,9563,1836,7459,11255,27449,20740,11907,42381,45,90,57,255
1/2/2019 10:34:30 PM,4384,9819,35719,15066,26082,34957,41332,92219,45,100,54,255
1/2/2019 10:34:31 PM,370419,7487,20170,17291,25227,15037,23101,33144,45,96,63,255
1/2/2019 10:34:32 PM,10639,5568,4128,5093,7407,20654,10258,30324,45,91,57,255
1/2/2019 10:34:33 PM,33431,3409,36734,35381,14677,13329,21822,42351,45,81,70,255
1/2/2019 10:34:34 PM,423684,7718,12640,25379,32264,11370,20860,84574,45,91,63,255
1/2/2019 10:34:35 PM,1624586,13526,25820,18486,17947,178789,25565,135898,45,75,54,255
1/2/2019 10:34:36 PM,165527,56768,21113,11539,14930,116033,36015,167139,45,66,61,255
1/2/2019 10:34:37 PM,240152,5124,3197,7289,10306,25948,8385,20978,45,66,51,255
1/2/2019 10:34:38 PM,145878,4135,2054,2444,13675,11262,7739,28364,45,64,50,255
1/2/2019 10:34:39 PM,62248,5670,3873,6410,5204,33084,11072,38987,45,67,51,255
1/2/2019 10:34:40 PM,4367,16978,16398,12652,22050,34393,42082,37389,45,78,50,255
