Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/7/2019 10:23:20 PM,80516,8846,18588,19790,36058,32008,42378,22113,53,83,40,255
1/7/2019 10:23:21 PM,53353,6693,3119,4570,6981,13452,7595,2139,53,80,40,255
1/7/2019 10:23:22 PM,6074,30836,24993,14823,28272,78739,27787,22921,53,67,50,255
1/7/2019 10:23:23 PM,121514,3873,27290,11731,10709,8090,23984,28728,53,63,56,255
1/7/2019 10:23:24 PM,68190,440,31782,2885,5216,8893,5412,4668,53,51,69,255
1/7/2019 10:23:25 PM,25941,4056,4756,6943,4768,17094,9414,6169,53,48,67,255
1/7/2019 10:23:26 PM,9478,4985,23723,53517,27907,25981,24334,15577,53,54,63,255
1/7/2019 10:23:27 PM,30807,6631,45818,8689,20620,4200,27210,23293,53,57,64,255
1/7/2019 10:23:28 PM,306481,28745,72200,30077,29332,39215,22512,25508,53,63,61,255
1/7/2019 10:23:29 PM,28318,20015,29583,29888,21188,13470,48608,31023,53,66,67,255
1/7/2019 10:23:30 PM,13778,15028,28770,54601,29031,11265,35382,25701,53,67,70,255
1/7/2019 10:23:31 PM,6694,11069,21792,41073,25470,12234,23168,31231,53,69,63,255
1/7/2019 10:23:32 PM,5545,1894,53007,31569,32207,10385,25667,26980,53,78,61,255
1/7/2019 10:23:33 PM,70289,6710,16368,14899,42401,8918,49528,24598,53,88,54,255
1/7/2019 10:23:34 PM,17307,3117,12189,4292,9064,17874,7850,3942,53,81,54,255
1/7/2019 10:23:35 PM,184910,3759,27669,18050,23432,13679,34687,21818,53,81,56,255
1/7/2019 10:23:36 PM,5661,13823,43841,6708,40206,119787,40557,24071,53,75,51,255
1/7/2019 10:23:37 PM,913137,5522,45848,24138,21218,7008,18792,22527,53,64,60,255
1/7/2019 10:23:38 PM,45420,15609,59414,6506,44155,88164,20667,24196,53,64,61,255
1/7/2019 10:23:39 PM,79157,4893,20825,14284,22358,21000,25901,56798,53,64,57,255
1/7/2019 10:23:40 PM,117055,4245,8798,2717,6903,34459,5027,5483,53,61,56,255
1/7/2019 10:23:41 PM,3269,7797,24807,17832,29092,26728,11271,24171,53,63,51,255
1/7/2019 10:23:42 PM,352596,6116,47578,12722,52820,4320,12652,32317,53,74,53,255
1/7/2019 10:23:43 PM,432034,19929,33240,12036,25418,51210,39137,12783,53,67,56,255
1/7/2019 10:23:44 PM,21247,239,4944,8948,7267,25584,5953,5159,53,70,50,255
1/7/2019 10:23:45 PM,1032612,13348,24875,46802,30068,13372,71225,15827,53,74,50,255
