Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 9:35:20 PM,15621,12574,7096,3499,9993,6167,12386,154145,48,100,35,255
1/2/2019 9:35:21 PM,11573,4995,11567,6417,8805,8733,10833,54042,48,100,48,255
1/2/2019 9:35:22 PM,7882,19615,23739,3838,8787,12231,6014,42799,48,100,77,255
1/2/2019 9:35:23 PM,6710,6537,6916,4162,12203,5097,10470,35429,48,100,91,255
1/2/2019 9:35:24 PM,6716,26610,38025,6010,12557,22957,8477,41271,48,100,96,255
1/2/2019 9:35:25 PM,42866,5802,19352,31779,7029,7680,11495,42049,48,93,93,255
1/2/2019 9:35:26 PM,35797,8182,12046,2966,7493,27597,18008,43527,48,88,81,255
1/2/2019 9:35:27 PM,17265,8698,29270,12228,16167,15347,11838,33601,48,80,84,255
1/2/2019 9:35:28 PM,19772,5214,4283,14171,19586,13754,11574,40209,48,96,66,255
1/2/2019 9:35:29 PM,2566,6915,6388,2700,13565,4874,12306,32647,48,100,66,255
1/2/2019 9:35:30 PM,9753,7119,4933,10721,9080,14274,4549,43054,48,100,63,255
1/2/2019 9:35:31 PM,2128,2734,957,3330,8720,13190,7676,63605,48,100,47,255
1/2/2019 9:35:32 PM,10658,3589,3180,2971,7817,6022,8404,37456,48,100,51,255
1/2/2019 9:35:33 PM,928,1945,4119,12660,7561,2273,7101,62493,48,100,44,255
1/2/2019 9:35:34 PM,9085,10015,3274,1985,5805,13642,8101,32791,48,100,50,255
1/2/2019 9:35:35 PM,11565,4775,4297,9846,4773,10356,7310,60472,48,100,57,255
1/2/2019 9:35:36 PM,1416,1180,8921,4428,9132,37370,7766,51741,48,90,51,255
1/2/2019 9:35:37 PM,6138,6062,5656,5210,4144,52285,5920,52094,48,63,48,255
1/2/2019 9:35:38 PM,1743,832,7842,2683,14772,16041,8043,47520,48,74,40,255
1/2/2019 9:35:39 PM,8461,20151,7492,5747,14864,1698,8110,32014,48,81,51,255
1/2/2019 9:35:40 PM,8034,8540,10555,5482,4634,6803,11807,44141,48,81,67,255
1/2/2019 9:35:41 PM,7822,10907,55232,5178,5114,2635,8736,37951,48,81,93,255
1/2/2019 9:35:42 PM,17750,11775,3749,5103,10565,5463,9272,35864,48,78,100,255
1/2/2019 9:35:43 PM,186463,5975,8531,4753,8848,9791,6836,63972,60,77,90,255
1/2/2019 9:35:44 PM,4859,22181,15236,24144,27764,123870,6898,47980,60,75,74,255
1/2/2019 9:35:45 PM,31622,2735,26365,4545,10401,6318,3323,107836,60,90,61,255
