Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:38:51 PM,440780,22111,6030,3505,10415,136476,6743,35067,44,84,77,255
1/2/2019 10:38:52 PM,10590,1528,5593,16337,13281,264753,7314,155954,44,56,44,255
1/2/2019 10:38:53 PM,5413,7380,14359,24468,16917,5664,24135,108589,44,57,41,255
1/2/2019 10:38:54 PM,1570,16647,2788,13156,14934,19833,12212,85075,44,56,41,255
1/2/2019 10:38:55 PM,46636,8741,13519,4219,21406,11350,19069,40491,37,80,54,255
1/2/2019 10:38:56 PM,276505,9165,20149,1889,5807,44758,7661,13470,36,87,87,255
1/2/2019 10:38:57 PM,31603,3621,699,700,2643,5414,533,2935,36,77,88,255
1/2/2019 10:38:58 PM,21464,7902,14303,9291,17322,9186,31679,47049,36,81,91,255
1/2/2019 10:38:59 PM,13844,21145,10660,7903,14190,22335,22353,80894,36,70,94,255
1/2/2019 10:39:00 PM,11328,15076,13131,5130,14058,1853,13882,64125,36,91,100,255
1/2/2019 10:39:01 PM,114092,5358,6112,14915,16263,3966,16778,69364,47,100,97,255
1/2/2019 10:39:02 PM,117492,2121,4146,2427,4157,16931,4443,12365,47,93,90,255
1/2/2019 10:39:03 PM,242815,1605,4422,2870,4645,13390,7424,13839,47,93,80,255
1/2/2019 10:39:04 PM,5261,289,2478,2619,5155,10825,4327,15634,47,91,56,255
1/2/2019 10:39:05 PM,10071,13634,7257,9879,21921,16364,13036,51483,47,84,60,255
1/2/2019 10:39:06 PM,194127,15329,6361,11037,8363,6556,11261,87421,47,91,70,255
1/2/2019 10:39:07 PM,11744,33724,19186,15558,20093,23504,32054,60537,47,91,83,255
1/2/2019 10:39:08 PM,7443,15905,10328,24264,16736,12867,23183,51579,47,93,94,255
1/2/2019 10:39:09 PM,4319,20212,9571,21335,16392,33142,25079,62227,47,84,94,255
1/2/2019 10:39:10 PM,132530,13790,20612,15952,12111,7342,23650,69289,47,83,96,255
1/2/2019 10:39:11 PM,484320,9080,19702,20395,26918,93142,14420,18227,47,83,81,255
1/2/2019 10:39:12 PM,15986,24583,4651,11101,54355,182367,22070,29722,47,77,67,255
1/2/2019 10:39:13 PM,155736,15524,3494,12450,28660,9729,23991,79785,47,90,67,255
1/2/2019 10:39:14 PM,1520,2812,7620,2164,12963,90323,5533,12525,47,81,44,255
1/2/2019 10:39:15 PM,5646,16923,20260,26955,15650,35527,17624,21204,47,81,53,255
1/2/2019 10:39:16 PM,402205,8879,15666,14611,25195,26320,25707,64828,47,88,63,255
