Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/7/2019 10:46:53 PM,11105,5289,39886,12018,6391,2838,3992,413884,36,77,51,255
1/7/2019 10:46:54 PM,3383,2622,12370,5952,7359,16054,2526,412503,36,94,51,255
1/7/2019 10:46:55 PM,9475,18305,15096,12557,5112,9746,2826,472481,36,83,75,255
1/7/2019 10:46:56 PM,29183,4393,9187,19513,7434,5402,3010,436609,36,97,78,255
1/7/2019 10:46:57 PM,11087,8695,19743,5955,6752,1903,1736,457865,36,100,77,255
1/7/2019 10:46:58 PM,4755,9199,10141,11166,5758,23880,3059,391439,36,97,77,255
1/7/2019 10:46:59 PM,19836,3473,29013,13325,5874,11496,2691,454050,36,100,75,255
1/7/2019 10:47:00 PM,14945,6675,19506,9151,4575,8397,1415,422625,36,88,84,255
1/7/2019 10:47:01 PM,5457,18822,16812,2411,8621,5428,2286,449849,36,88,87,255
1/7/2019 10:47:02 PM,4246,2720,18353,5293,4459,32713,4225,427921,36,83,87,255
1/7/2019 10:47:03 PM,9635,4321,44288,3247,2526,8092,1043,432193,36,70,96,255
1/7/2019 10:47:04 PM,12645,6107,14693,15946,3932,29338,1757,427876,36,66,87,255
1/7/2019 10:47:05 PM,39834,18643,38717,7141,6822,28716,5116,397864,36,56,83,255
1/7/2019 10:47:06 PM,24885,679,6984,931,4932,15570,664,104670,36,66,80,255
1/7/2019 10:47:07 PM,3865,13356,13311,7242,5704,16570,2200,431479,36,78,67,255
1/7/2019 10:47:08 PM,14220,8209,29155,3984,9004,15178,7634,388777,36,87,80,255
1/7/2019 10:47:09 PM,77713,6114,10032,8211,3675,6687,1415,432637,36,93,75,255
1/7/2019 10:47:10 PM,13833,4537,12109,1860,865,9520,1808,107513,36,75,88,255
1/7/2019 10:47:11 PM,9256,936,14797,10968,8243,7120,4313,444231,36,84,84,255
1/7/2019 10:47:12 PM,9280,18949,59196,10754,5230,5368,2300,343666,36,75,94,255
1/7/2019 10:47:13 PM,26786,7491,26300,2922,6776,7534,7664,418065,36,75,100,255
1/7/2019 10:47:14 PM,15248,3691,16681,4776,4870,16197,2217,385920,36,90,96,255
1/7/2019 10:47:15 PM,2254,3113,6396,10178,8063,5452,2349,397195,36,90,91,255
1/7/2019 10:47:16 PM,7470,4444,10259,4191,4119,6558,1558,375941,36,100,80,255
1/7/2019 10:47:17 PM,19272,14428,30693,12143,3889,5371,2910,356184,36,93,80,255
1/7/2019 10:47:18 PM,9455,5731,33661,5002,2724,6156,4487,407848,36,83,93,255
