Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 9:49:18 PM,3422,2728,3189,3177,10442,19245,7829,352627,59,81,29,255
1/2/2019 9:49:19 PM,49643,8472,15446,4198,5071,24014,8662,290779,59,70,38,255
1/2/2019 9:49:20 PM,11047,6474,4311,6484,7984,11392,8685,119867,59,91,30,255
1/2/2019 9:49:21 PM,242972,2609,5507,2465,5073,21645,6813,172970,47,81,29,255
1/2/2019 9:49:22 PM,10819,43516,7757,2954,13924,196942,4816,154674,47,63,34,255
1/2/2019 9:49:23 PM,25756,9643,8161,4910,11649,10814,4982,142857,47,77,34,255
1/2/2019 9:49:24 PM,9583,6289,5872,4220,6631,9731,4745,120264,47,74,35,255
1/2/2019 9:49:25 PM,17804,10411,5498,6572,6807,6404,3349,176773,47,80,43,255
1/2/2019 9:49:26 PM,6651,4754,47709,3299,12637,17724,5436,111173,47,90,57,255
1/2/2019 9:49:27 PM,16884,2894,12257,6024,6444,41800,6844,181594,47,78,51,255
1/2/2019 9:49:28 PM,29576,1853,26708,4007,6350,23298,4479,121626,47,70,54,255
1/2/2019 9:49:29 PM,26955,8761,9115,5874,7367,13832,3789,135818,47,67,51,255
1/2/2019 9:49:30 PM,4867,2007,12183,5194,7908,20721,3922,146105,47,70,41,255
1/2/2019 9:49:31 PM,7253,1651,565,12080,5244,8020,3877,160771,47,84,34,255
1/2/2019 9:49:32 PM,35404,1793,11957,2086,3991,7825,8087,158432,47,88,35,255
1/2/2019 9:49:33 PM,17196,630,8208,3412,2257,6003,3251,178206,47,84,37,255
1/2/2019 9:49:34 PM,11520,4711,17492,8725,4853,2471,3158,153908,47,83,47,255
1/2/2019 9:49:35 PM,28835,11130,63746,7990,4994,11874,2964,163349,47,63,75,255
1/2/2019 9:49:36 PM,4459,7872,9961,11293,16646,11055,4133,184079,47,74,67,255
1/2/2019 9:49:37 PM,9360,4014,19941,7404,12627,4269,6354,170535,47,83,69,255
1/2/2019 9:49:38 PM,13661,4965,58868,1921,11846,8016,5336,127691,47,81,77,255
1/2/2019 9:49:39 PM,10262,10154,12098,5745,2866,1483,9769,116575,47,88,75,255
1/2/2019 9:49:40 PM,23089,6682,5143,8892,9670,16032,4823,171584,47,83,70,255
1/2/2019 9:49:41 PM,3861,3102,5233,4170,5561,9503,5057,132970,47,80,64,255
1/2/2019 9:49:42 PM,23251,5546,45246,2407,5995,26478,3911,206835,47,74,60,255
1/2/2019 9:49:43 PM,9511,873,44970,2659,5994,16714,5616,222692,47,69,57,255
