Time,Raw_EEGS
,
1/2/2019 9:48:30 PM,-4
1/2/2019 9:48:30 PM,3
1/2/2019 9:48:30 PM,26
1/2/2019 9:48:30 PM,53
1/2/2019 9:48:30 PM,71
1/2/2019 9:48:30 PM,83
1/2/2019 9:48:30 PM,89
1/2/2019 9:48:30 PM,85
1/2/2019 9:48:30 PM,72
1/2/2019 9:48:30 PM,41
1/2/2019 9:48:30 PM,-2
1/2/2019 9:48:30 PM,-14
1/2/2019 9:48:30 PM,7
1/2/2019 9:48:30 PM,43
1/2/2019 9:48:30 PM,80
1/2/2019 9:48:30 PM,102
1/2/2019 9:48:30 PM,112
1/2/2019 9:48:30 PM,116
1/2/2019 9:48:30 PM,97
1/2/2019 9:48:30 PM,43
1/2/2019 9:48:30 PM,5
1/2/2019 9:48:30 PM,-8
1/2/2019 9:48:30 PM,-13
1/2/2019 9:48:30 PM,0
1/2/2019 9:48:30 PM,37
1/2/2019 9:48:30 PM,83
1/2/2019 9:48:30 PM,112
1/2/2019 9:48:30 PM,114
1/2/2019 9:48:30 PM,96
1/2/2019 9:48:30 PM,54
1/2/2019 9:48:30 PM,8
1/2/2019 9:48:30 PM,-14
1/2/2019 9:48:30 PM,-8
1/2/2019 9:48:30 PM,17
1/2/2019 9:48:30 PM,51
1/2/2019 9:48:30 PM,74
1/2/2019 9:48:30 PM,87
1/2/2019 9:48:30 PM,108
1/2/2019 9:48:30 PM,122
1/2/2019 9:48:30 PM,88
1/2/2019 9:48:30 PM,21
1/2/2019 9:48:30 PM,-20
1/2/2019 9:48:30 PM,-24
1/2/2019 9:48:30 PM,-3
1/2/2019 9:48:30 PM,32
1/2/2019 9:48:30 PM,55
1/2/2019 9:48:30 PM,66
1/2/2019 9:48:30 PM,76
1/2/2019 9:48:30 PM,85
1/2/2019 9:48:30 PM,56
1/2/2019 9:48:30 PM,0
1/2/2019 9:48:30 PM,-33
1/2/2019 9:48:30 PM,-21
1/2/2019 9:48:30 PM,4
1/2/2019 9:48:30 PM,24
1/2/2019 9:48:30 PM,60
1/2/2019 9:48:30 PM,87
1/2/2019 9:48:30 PM,89
1/2/2019 9:48:30 PM,73
1/2/2019 9:48:30 PM,49
1/2/2019 9:48:30 PM,10
1/2/2019 9:48:30 PM,-21
1/2/2019 9:48:30 PM,-26
1/2/2019 9:48:30 PM,-1
1/2/2019 9:48:30 PM,37
1/2/2019 9:48:30 PM,54
1/2/2019 9:48:30 PM,59
1/2/2019 9:48:30 PM,72
1/2/2019 9:48:30 PM,80
1/2/2019 9:48:30 PM,48
1/2/2019 9:48:30 PM,-10
1/2/2019 9:48:30 PM,-53
1/2/2019 9:48:30 PM,-58
1/2/2019 9:48:30 PM,-28
1/2/2019 9:48:30 PM,18
1/2/2019 9:48:30 PM,67
1/2/2019 9:48:30 PM,108
1/2/2019 9:48:30 PM,125
1/2/2019 9:48:30 PM,103
1/2/2019 9:48:30 PM,55
