Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:52:19 PM,4857,5015,32327,10830,5433,9138,10151,138447,47,69,77,255
1/2/2019 10:52:20 PM,28129,2891,8215,10839,14555,9377,18556,146171,42,75,74,255
1/2/2019 10:52:21 PM,574325,31625,14644,19587,35132,53066,16382,88778,53,90,81,255
1/2/2019 10:52:22 PM,428727,12499,8360,9357,10260,258136,3949,18355,53,64,66,255
1/2/2019 10:52:23 PM,7780,16073,13509,10141,7505,23763,9250,167976,53,66,57,255
1/2/2019 10:52:24 PM,569,2235,15196,21832,13385,4611,12532,178041,53,64,63,255
1/2/2019 10:52:25 PM,75166,730,5855,11627,19950,5460,11530,73012,53,77,51,255
1/2/2019 10:52:26 PM,137207,5970,2663,1465,3615,18109,3233,31571,53,87,69,255
1/2/2019 10:52:27 PM,201073,1555,906,1346,3314,11240,1763,25758,53,90,53,255
1/2/2019 10:52:28 PM,109745,7046,18445,14639,6461,29130,18386,117606,40,74,53,255
1/2/2019 10:52:29 PM,10378,1472,8732,8314,2955,31741,3626,24058,40,47,57,255
1/2/2019 10:52:30 PM,315644,7823,13797,2707,16814,2363,19577,70309,40,60,67,255
1/2/2019 10:52:31 PM,6063,44882,4984,23509,21006,88079,19003,105415,40,56,78,255
1/2/2019 10:52:32 PM,32875,1360,8621,8653,5930,15343,12833,157997,40,61,74,255
1/2/2019 10:52:33 PM,1391,39802,4935,29541,12364,61596,4133,90616,40,66,80,255
1/2/2019 10:52:34 PM,148910,23000,14723,18923,12890,15754,12549,78640,40,56,78,255
1/2/2019 10:52:35 PM,30118,3229,5862,8378,17574,13879,23883,129714,39,70,74,255
1/2/2019 10:52:36 PM,3340,1953,2060,1679,1588,8490,5486,31773,39,66,75,255
1/2/2019 10:52:37 PM,5922,5802,727,3636,13327,14065,10119,132447,39,80,66,255
1/2/2019 10:52:38 PM,89044,6981,4050,11004,11294,9052,10925,79302,39,88,54,255
1/2/2019 10:52:39 PM,27429,2620,1311,1752,1738,9061,3573,34288,39,74,60,255
1/2/2019 10:52:40 PM,18286,527,8026,13010,10643,5099,4770,112304,39,88,56,255
1/2/2019 10:52:41 PM,5916,11287,2765,10821,7875,11429,3785,102711,39,83,66,255
1/2/2019 10:52:42 PM,66061,17899,38574,18538,8632,12677,21832,103007,39,69,83,255
1/2/2019 10:52:43 PM,5909,6005,928,1680,5095,6533,1947,20686,39,77,88,255
1/2/2019 10:52:44 PM,103905,20996,2885,9328,5308,15559,18487,88645,39,63,97,255
