Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/2/2019 10:57:50 PM,421189,79743,69190,27353,24072,113108,86259,159005,42,75,54,255
1/2/2019 10:57:51 PM,3404,10885,9645,14426,28366,18849,53711,25606,42,80,63,255
1/2/2019 10:57:52 PM,475819,7542,23420,7156,36684,2793,56446,117296,42,84,70,255
1/2/2019 10:57:53 PM,7114,90896,27072,10177,13320,89845,103241,68919,42,80,83,255
1/2/2019 10:57:54 PM,571149,23012,8216,11385,39168,12344,33738,45938,42,100,77,255
1/2/2019 10:57:55 PM,722784,2763,33906,29434,32349,57544,50602,22605,42,96,77,255
1/2/2019 10:57:56 PM,817568,27471,5165,5653,8625,114578,12727,22992,42,69,66,255
1/2/2019 10:57:57 PM,216153,9674,20874,52996,90503,62829,20473,144081,42,94,48,255
1/2/2019 10:57:58 PM,1014755,12981,3853,4308,9482,104815,11299,13982,42,70,37,255
1/2/2019 10:57:59 PM,296791,211386,51191,22729,32810,891368,45620,132909,42,48,37,255
1/2/2019 10:58:00 PM,59670,30355,10272,14367,14673,39050,40679,30365,42,60,44,255
1/2/2019 10:58:01 PM,515026,25571,36262,11253,24287,84411,31132,98786,42,41,56,255
1/2/2019 10:58:02 PM,2817,10493,27470,20911,21500,48106,73234,142233,42,53,66,255
1/2/2019 10:58:03 PM,103403,24461,26367,7981,56722,8351,94383,54704,42,84,75,255
1/2/2019 10:58:04 PM,394136,18644,16160,18669,33880,17392,20144,165791,42,97,74,255
1/2/2019 10:58:05 PM,170843,10009,18689,7613,42864,76419,46999,151676,42,100,64,255
1/2/2019 10:58:06 PM,47123,28481,23681,24334,35929,103284,76147,179629,42,100,63,255
1/2/2019 10:58:07 PM,1003705,2653,3202,1651,2988,29680,3564,7139,39,83,50,255
1/2/2019 10:58:08 PM,331959,14067,40323,22144,69504,870364,50504,112784,39,61,29,255
1/2/2019 10:58:09 PM,196065,39876,32637,15815,20023,42326,51658,137545,39,51,41,255
1/2/2019 10:58:10 PM,812184,4665,6669,3050,12278,59910,10247,15173,34,48,35,255
1/2/2019 10:58:11 PM,514684,36725,47253,50109,20805,173050,38534,207033,34,48,41,255
1/2/2019 10:58:12 PM,311824,14545,42314,4897,24622,36320,21394,137089,34,61,66,255
1/2/2019 10:58:13 PM,901393,21643,22021,10598,24346,112569,42831,68073,34,60,54,255
1/2/2019 10:58:14 PM,1503963,45771,45621,36151,26440,427811,33847,63556,34,48,57,255
1/2/2019 10:58:15 PM,1289820,15745,25307,8797,92091,47267,58395,122999,34,74,54,255
