Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 7:31:45 PM,126175,13587,5404,1933,3246,41630,1821,85832,52,61,61,255
1/19/2019 7:31:46 PM,325324,18924,9783,2451,6511,65021,2425,77097,52,50,54,255
1/19/2019 7:31:47 PM,52741,31550,20517,12746,30552,111189,16319,137022,52,51,37,255
1/19/2019 7:31:48 PM,8635,34429,6663,59817,8738,18435,9936,175069,52,47,40,255
1/19/2019 7:31:49 PM,5452,19074,18615,31300,9358,16237,9861,196062,52,61,44,255
1/19/2019 7:31:50 PM,3185,21670,26497,25955,16374,14913,21845,193424,52,78,53,255
1/19/2019 7:31:51 PM,14372,14577,23288,17309,11325,16707,9454,190860,52,80,63,255
1/19/2019 7:31:52 PM,1582,5689,14772,43341,12149,16927,4410,141603,52,88,56,255
1/19/2019 7:31:53 PM,2296,9516,17733,41620,6815,20924,9209,152896,52,87,50,255
1/19/2019 7:31:54 PM,6050,8879,14265,13176,16930,16515,12754,138147,52,93,44,255
1/19/2019 7:31:55 PM,9479,18036,24687,12525,13694,10882,12963,180780,52,94,48,255
1/19/2019 7:31:56 PM,3741,9815,1843,7273,5558,10655,7484,176757,52,93,54,255
1/19/2019 7:31:57 PM,1220,15527,2195,18787,11815,15464,7490,162628,52,100,54,255
1/19/2019 7:31:58 PM,2915,18900,16893,20154,19963,17939,9776,178033,52,100,56,255
1/19/2019 7:31:59 PM,10323,3769,44179,26844,4567,21564,5742,150976,52,83,54,255
1/19/2019 7:32:00 PM,3205,16002,27418,15342,11763,12379,5779,169034,52,80,63,255
1/19/2019 7:32:01 PM,39770,11938,14771,34820,11345,5171,8384,153826,52,81,66,255
1/19/2019 7:32:02 PM,45292,2513,22957,16040,14216,33399,14481,145464,52,77,61,255
1/19/2019 7:32:03 PM,22040,5775,4473,23450,18233,23264,7473,177958,52,100,43,255
1/19/2019 7:32:04 PM,18358,7302,26549,32612,11701,29736,4992,114876,52,100,34,255
1/19/2019 7:32:05 PM,75416,21444,21785,16159,8337,13489,5785,187464,52,90,41,255
1/19/2019 7:32:06 PM,6437,3411,2327,3075,2588,14395,2936,51132,52,83,38,255
1/19/2019 7:32:07 PM,10048,9012,1821,19610,14681,22712,9050,155941,52,81,40,255
1/19/2019 7:32:08 PM,13482,27581,5752,13133,16490,22450,3073,168066,52,90,44,255
1/19/2019 7:32:09 PM,7049,15926,19936,22055,14073,20098,5498,166177,52,94,40,255
1/19/2019 7:32:10 PM,9166,6022,5018,11347,13242,32592,10366,132478,52,100,35,255
