Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 7:28:00 PM,8850,10615,7002,8088,13247,11921,10448,281850,76,90,48,255
1/19/2019 7:28:01 PM,20012,9153,4542,23376,23563,11880,9968,164400,76,100,47,255
1/19/2019 7:28:02 PM,73827,10155,31048,17026,29273,40404,12903,102976,76,100,41,255
1/19/2019 7:28:03 PM,32187,9705,14813,18378,14361,15949,10899,101706,76,100,54,255
1/19/2019 7:28:04 PM,9057,2281,8916,8887,14257,20860,10643,139809,76,100,48,255
1/19/2019 7:28:05 PM,4546,1836,12974,19301,19423,10970,12177,105318,76,100,51,255
1/19/2019 7:28:06 PM,9150,1785,16575,16125,18262,6186,9220,102755,76,100,50,255
1/19/2019 7:28:07 PM,3989,18696,16476,15377,17873,21284,8724,130618,76,100,53,255
1/19/2019 7:28:08 PM,19244,3074,14971,18237,17352,5435,11054,100993,76,100,57,255
1/19/2019 7:28:09 PM,15650,35447,1530,17913,16014,61174,10625,151187,76,100,61,255
1/19/2019 7:28:10 PM,18273,13482,15943,8206,22683,24225,13007,118722,76,100,63,255
1/19/2019 7:28:11 PM,2225,698,20066,11170,18249,20890,13417,124606,76,100,57,255
1/19/2019 7:28:12 PM,9838,5532,20865,16475,14728,9182,8323,152046,76,96,63,255
1/19/2019 7:28:13 PM,60150,6763,14067,25917,12739,29609,8856,134801,76,100,60,255
1/19/2019 7:28:14 PM,14621,2649,9098,10175,18430,24974,7304,122809,76,100,50,255
1/19/2019 7:28:15 PM,9450,24496,12081,13574,11275,17337,12412,88910,76,94,56,255
1/19/2019 7:28:16 PM,651422,8343,39082,22395,19101,23483,9544,150180,76,91,56,255
1/19/2019 7:28:17 PM,39366,9122,7334,12786,20426,47341,11843,143859,76,93,53,255
1/19/2019 7:28:18 PM,7702,10885,17357,9722,18245,6607,19773,110086,76,93,64,255
1/19/2019 7:28:19 PM,7580,9274,33649,13305,39351,14540,14279,128861,76,100,61,255
1/19/2019 7:28:20 PM,121280,36131,10113,7083,17370,58221,8354,144570,76,97,57,255
1/19/2019 7:28:21 PM,432068,6826,961,3098,3255,26276,5035,30535,76,88,60,255
1/19/2019 7:28:22 PM,3435,28235,25529,14210,17355,179710,6052,119579,76,70,48,255
1/19/2019 7:28:23 PM,6525,8071,10546,13554,17086,36717,11776,139717,76,64,41,255
1/19/2019 7:28:24 PM,3403,3131,17712,23632,17114,22230,16440,149467,76,74,35,255
1/19/2019 7:28:25 PM,107085,18517,20400,18886,13815,16547,8140,117726,76,83,47,255
