Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 7:42:48 PM,34040,6262,21872,8997,14903,14719,7384,68848,70,70,60,255
1/19/2019 7:42:49 PM,5951,6952,23873,11776,19377,4874,7775,72755,70,74,64,255
1/19/2019 7:42:50 PM,6771,22050,21785,19006,14541,17766,9699,32159,70,69,64,255
1/19/2019 7:42:51 PM,3383,16750,7974,44322,18225,21547,4464,36648,70,75,69,255
1/19/2019 7:42:52 PM,7083,28895,16561,18502,31619,12112,12788,7491,70,78,69,255
1/19/2019 7:42:53 PM,13756,27217,13601,5305,44560,32741,5632,45061,70,80,64,255
1/19/2019 7:42:54 PM,4012,10289,12504,9716,17951,54044,16173,13892,70,80,56,255
1/19/2019 7:42:55 PM,17663,7797,6339,21104,23058,23150,3558,22107,70,83,53,255
1/19/2019 7:42:56 PM,27639,20283,18218,22694,15751,11112,5037,10527,70,78,53,255
1/19/2019 7:42:57 PM,19126,16305,55729,26449,11366,63868,4137,15005,70,61,56,255
1/19/2019 7:42:58 PM,378572,34068,53356,18147,17177,22207,7255,20167,70,60,69,255
1/19/2019 7:42:59 PM,55617,24801,7542,45480,9226,16737,16662,24289,70,51,77,255
1/19/2019 7:43:00 PM,17170,14823,37057,35331,9248,13553,7082,25707,70,44,78,255
1/19/2019 7:43:01 PM,8551,10358,6543,20215,7734,10173,4077,29137,70,54,74,255
1/19/2019 7:43:02 PM,20706,3333,9045,18307,25003,10620,8885,37296,70,70,57,255
1/19/2019 7:43:03 PM,18076,24073,12666,35337,5754,31327,11066,14139,70,63,60,255
1/19/2019 7:43:04 PM,23052,13870,4300,51400,12319,9476,6926,18147,70,70,50,255
1/19/2019 7:43:05 PM,9764,10799,45637,16948,20186,19862,8017,32337,70,69,56,255
1/19/2019 7:43:06 PM,37014,10813,13169,18070,17520,32106,5304,32560,70,60,60,255
1/19/2019 7:43:07 PM,6962,21519,25890,21679,11403,101858,4348,9348,70,60,56,255
1/19/2019 7:43:08 PM,5418,9173,13739,36428,18438,20421,7329,43492,70,60,57,255
1/19/2019 7:43:09 PM,56194,38153,19625,23376,15085,9733,4431,22115,70,57,60,255
1/19/2019 7:43:10 PM,680623,3295,4530,4931,4307,13789,1725,7545,70,54,60,255
1/19/2019 7:43:11 PM,7534,17742,17837,13648,13395,36948,5410,12763,70,63,64,255
1/19/2019 7:43:12 PM,14152,25737,28079,81824,14473,16761,9326,21970,70,56,67,255
1/19/2019 7:43:13 PM,8372,4260,28754,13560,11562,17303,5408,14351,70,56,64,255
