Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:41:27 PM,536216,14347,7190,6996,8720,8212,10767,98010,80,70,57,255
1/19/2019 8:41:28 PM,18101,9061,18744,26975,11148,17281,5436,97725,80,75,61,255
1/19/2019 8:41:29 PM,22182,16609,15783,13392,15005,14172,9588,70173,80,80,60,255
1/19/2019 8:41:30 PM,16270,8605,29417,29514,11697,17038,3978,41566,80,78,61,255
1/19/2019 8:41:31 PM,23977,6857,3550,38595,8577,42285,3886,54512,80,74,44,255
1/19/2019 8:41:32 PM,36788,4763,6268,10859,14237,18050,9212,63990,80,80,40,255
1/19/2019 8:41:33 PM,24268,8383,14121,21524,8586,18552,5617,74205,80,75,35,255
1/19/2019 8:41:34 PM,6934,34469,18261,25108,4478,19458,8149,67490,80,64,40,255
1/19/2019 8:41:35 PM,3337,2340,25835,16948,7898,17392,2765,59437,80,64,53,255
1/19/2019 8:41:36 PM,2144,1622,8062,11610,8248,15732,2938,59732,80,63,54,255
1/19/2019 8:41:37 PM,26350,3803,22420,8824,16026,9806,3651,67513,80,69,57,255
1/19/2019 8:41:38 PM,5241,9788,8872,12086,7363,50171,4219,56729,80,75,47,255
1/19/2019 8:41:39 PM,4050,10839,22798,23852,9786,25607,2996,49651,80,74,44,255
1/19/2019 8:41:40 PM,5556,9873,47443,17800,11895,8032,6923,48400,80,66,60,255
1/19/2019 8:41:41 PM,36844,50199,124045,40886,13501,13747,3435,53344,80,51,69,255
1/19/2019 8:41:42 PM,27664,74003,64849,28097,7016,26686,5497,43064,80,41,87,255
1/19/2019 8:41:43 PM,6226,10426,8667,12271,5715,7001,4934,58861,80,44,88,255
1/19/2019 8:41:44 PM,6371,6659,21094,19290,6556,5970,2761,52256,80,44,84,255
1/19/2019 8:41:45 PM,3006,7388,24554,3719,7093,7060,2540,78262,80,53,83,255
1/19/2019 8:41:46 PM,10536,19943,8077,8471,6432,38287,2251,52013,80,60,70,255
1/19/2019 8:41:47 PM,4256,4666,2759,7763,6195,11339,1806,68534,80,63,63,255
1/19/2019 8:41:48 PM,4290,17462,18555,26866,9610,18838,2815,64642,80,63,60,255
1/19/2019 8:41:49 PM,3316,9028,4239,13251,9176,8732,2539,49416,80,70,48,255
1/19/2019 8:41:50 PM,1884,2087,15590,21787,7566,12561,433,41322,80,80,44,255
1/19/2019 8:41:51 PM,10719,35892,35286,25170,15912,13579,1107,53976,80,75,57,255
1/19/2019 8:41:52 PM,3387,17405,17679,20132,12163,25436,2876,65743,80,77,56,255
