Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:43:25 PM,14658,14679,35847,27058,10774,6786,3379,89437,56,78,77,255
1/19/2019 8:43:26 PM,2842,26005,29601,36243,3641,18974,3225,93968,56,61,69,255
1/19/2019 8:43:27 PM,12182,52516,13664,24816,8018,16663,1974,116293,56,47,78,255
1/19/2019 8:43:28 PM,5098,46141,30498,28921,26016,3343,5930,91109,56,53,81,255
1/19/2019 8:43:29 PM,5405,2824,14772,12657,7980,41949,2946,88787,56,50,67,255
1/19/2019 8:43:30 PM,77503,15531,17473,5916,4157,13273,3415,112241,56,56,74,255
1/19/2019 8:43:31 PM,5298,3790,11976,16891,7696,25279,5596,128345,56,63,60,255
1/19/2019 8:43:32 PM,6552,14906,62739,12643,3962,23192,3810,81181,56,43,64,255
1/19/2019 8:43:33 PM,514183,22903,10110,42679,9346,21038,1474,100296,56,47,69,255
1/19/2019 8:43:34 PM,404103,14298,3294,15511,4962,60431,3618,98545,56,43,53,255
1/19/2019 8:43:35 PM,21121,28699,17785,30992,8036,38273,3162,85903,56,37,57,255
1/19/2019 8:43:36 PM,20695,4198,5453,8456,8593,32669,1651,120746,56,51,38,255
1/19/2019 8:43:37 PM,7640,20215,22097,20162,13093,39600,7653,81785,56,50,40,255
1/19/2019 8:43:38 PM,13992,52281,22158,35447,9078,9682,5146,91379,56,54,54,255
1/19/2019 8:43:39 PM,24791,27381,17071,8512,6466,20545,3561,115414,56,54,61,255
1/19/2019 8:43:40 PM,7645,9001,13220,30193,12803,14941,1299,112209,56,57,66,255
1/19/2019 8:43:41 PM,6536,30597,5364,9500,2109,8608,2017,108967,56,48,77,255
1/19/2019 8:43:42 PM,11001,23048,5675,9620,8159,19689,2545,125567,56,53,69,255
1/19/2019 8:43:43 PM,672,23217,19023,9781,5058,14243,2364,102803,56,53,70,255
1/19/2019 8:43:44 PM,7814,19035,24636,7087,8179,15356,4622,118724,56,44,84,255
1/19/2019 8:43:45 PM,17768,36869,30323,11789,5309,19046,1559,111993,56,47,84,255
1/19/2019 8:43:46 PM,15465,14745,5469,22222,8741,16437,3180,109411,56,50,80,255
1/19/2019 8:43:47 PM,2413,6765,16239,22863,11170,4416,2895,97569,56,61,74,255
1/19/2019 8:43:48 PM,11561,12089,25752,53548,13785,22780,1613,71946,56,66,61,255
1/19/2019 8:43:49 PM,6266,4081,44331,12747,3952,13464,1940,88536,56,66,60,255
1/19/2019 8:43:50 PM,1851,13231,10748,6870,11422,9348,1640,69842,56,69,66,255
