Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 7:34:40 PM,2300,12923,9010,13383,9075,13577,10046,185639,73,67,20,255
1/19/2019 7:34:41 PM,14277,53794,18569,25024,11681,10624,5106,129856,73,57,40,255
1/19/2019 7:34:42 PM,5534,5996,11710,12188,10053,34335,4383,131000,73,74,50,255
1/19/2019 7:34:43 PM,8391,17104,14468,21610,12977,23329,7171,139282,73,69,57,255
1/19/2019 7:34:44 PM,155236,5122,13451,14770,13414,18127,10327,140608,73,75,54,255
1/19/2019 7:34:45 PM,1006,11146,12960,14165,9242,69828,6838,98834,73,70,35,255
1/19/2019 7:34:46 PM,414066,10211,9086,29502,18745,11656,5652,122102,73,83,35,255
1/19/2019 7:34:47 PM,11735,12977,4203,9684,7586,20349,5973,143474,73,81,34,255
1/19/2019 7:34:48 PM,7353,8669,12752,19687,8204,22425,8675,113196,73,75,34,255
1/19/2019 7:34:49 PM,2012,17130,8215,48224,8897,17348,3598,81188,73,81,37,255
1/19/2019 7:34:50 PM,8549,3993,24308,10756,19555,7301,6370,120888,73,80,44,255
1/19/2019 7:34:51 PM,10879,7500,24920,13327,14002,14571,13915,128158,73,84,50,255
1/19/2019 7:34:52 PM,12212,8167,16564,10375,24187,42535,19331,73392,73,88,48,255
1/19/2019 7:34:53 PM,6624,5057,14106,14639,9985,11718,6435,121012,73,91,53,255
1/19/2019 7:34:54 PM,3711,12486,11083,22354,21308,50591,3452,98635,73,87,41,255
1/19/2019 7:34:55 PM,5221,19096,27731,5475,17795,18580,6347,97639,73,84,44,255
1/19/2019 7:34:56 PM,105325,1878,2519,9321,9371,26421,11095,120592,73,84,30,255
1/19/2019 7:34:57 PM,10846,10213,9631,7789,19665,63306,13468,126984,73,81,21,255
1/19/2019 7:34:58 PM,193884,17567,7198,10780,16105,7751,7438,126442,73,87,34,255
1/19/2019 7:34:59 PM,2586,17690,6896,5450,9927,53226,8635,125329,73,80,21,255
1/19/2019 7:35:00 PM,5312,23284,5286,7687,7950,14280,4957,154101,73,77,44,255
1/19/2019 7:35:01 PM,61256,21103,14618,5728,8871,14784,4733,95612,73,74,64,255
1/19/2019 7:35:02 PM,6104,12273,3247,12367,18327,21765,7721,91509,73,74,54,255
1/19/2019 7:35:03 PM,7837,2894,5222,12585,11471,14350,2793,117852,73,84,50,255
1/19/2019 7:35:04 PM,3921,27219,60198,20204,12775,9442,5147,130141,73,81,57,255
1/19/2019 7:35:05 PM,406023,3927,32007,17385,9802,52730,5751,120172,73,77,48,255
