Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:38:30 PM,6621,2750,17984,6954,13941,13827,10289,152406,58,74,63,255
1/19/2019 8:38:31 PM,3861,777,14356,8074,11445,10482,4955,143649,58,87,60,255
1/19/2019 8:38:32 PM,7306,8245,17840,26673,7324,30102,3393,59697,58,81,53,255
1/19/2019 8:38:33 PM,4835,13397,2182,8739,14365,27258,3540,63937,58,87,50,255
1/19/2019 8:38:34 PM,5621,6822,38204,10722,4234,9192,7259,82576,58,74,60,255
1/19/2019 8:38:35 PM,4601,8659,3266,12600,9937,7352,4401,57364,58,74,56,255
1/19/2019 8:38:36 PM,3547,4286,8451,6919,5323,9034,2110,76768,58,80,60,255
1/19/2019 8:38:37 PM,4707,7246,12163,7069,10604,18232,3730,72968,58,78,64,255
1/19/2019 8:38:38 PM,391322,5056,8216,22208,4761,11017,2061,58227,58,87,50,255
1/19/2019 8:38:39 PM,2523,3630,10487,6652,9100,41922,7103,51798,58,77,47,255
1/19/2019 8:38:40 PM,20460,23316,16225,40148,11163,16170,8844,56433,58,74,44,255
1/19/2019 8:38:41 PM,9213,4833,19086,13550,4769,17116,3296,70662,58,64,47,255
1/19/2019 8:38:42 PM,11181,36627,26278,22883,7116,11096,4648,64292,58,56,60,255
1/19/2019 8:38:43 PM,13867,7020,3811,8222,5066,15755,5321,85026,58,57,63,255
1/19/2019 8:38:44 PM,7982,31910,8937,17792,7993,10620,3257,65181,58,56,67,255
1/19/2019 8:38:45 PM,8996,7960,16824,26826,10659,15484,5087,64563,58,64,66,255
1/19/2019 8:38:46 PM,3278,16572,9670,12680,15176,11473,1436,41579,58,78,60,255
1/19/2019 8:38:47 PM,4637,6194,6278,16085,5964,19195,2190,72427,58,78,57,255
1/19/2019 8:38:48 PM,2778,9857,14231,8924,11903,9840,4844,59451,58,84,56,255
1/19/2019 8:38:49 PM,7357,13089,6694,7367,15520,4673,3031,65429,58,93,57,255
1/19/2019 8:38:50 PM,6464,3158,24023,10849,9697,8494,1215,54021,58,90,61,255
1/19/2019 8:38:51 PM,19020,9939,953,6902,20391,9434,5093,75643,58,100,61,255
1/19/2019 8:38:52 PM,10532,4003,2458,12198,4016,24819,9897,53125,58,97,48,255
1/19/2019 8:38:53 PM,8072,12492,6785,5251,4751,15361,2753,105432,58,81,48,255
1/19/2019 8:38:54 PM,6191,15314,8866,7337,10522,24717,2276,70990,58,80,44,255
1/19/2019 8:38:55 PM,3741,7793,17113,5050,5089,8684,1511,59853,58,61,56,255
