Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:37:49 PM,2321,5156,5098,6625,11642,9400,2589,141102,69,77,60,255
1/19/2019 8:37:50 PM,8807,12727,17145,5577,4859,14811,4016,115091,69,80,67,255
1/19/2019 8:37:51 PM,2885,9275,26583,10940,6690,8996,2910,71426,69,80,74,255
1/19/2019 8:37:52 PM,1656,6887,6612,4195,10018,8985,2258,76217,69,87,67,255
1/19/2019 8:37:53 PM,1042,22152,7927,9818,6485,24560,2828,63649,69,69,74,255
1/19/2019 8:37:54 PM,5009,5504,20137,5378,7232,10598,2521,63710,69,77,74,255
1/19/2019 8:37:55 PM,23749,3875,12727,8499,10076,25306,3584,60573,69,80,63,255
1/19/2019 8:37:56 PM,15988,9024,8867,9488,7498,11658,3256,66232,69,75,64,255
1/19/2019 8:37:57 PM,8333,16540,3915,11641,6702,25196,2260,94824,69,77,60,255
1/19/2019 8:37:58 PM,2171,3875,8472,8236,7804,33136,3916,67334,69,75,48,255
1/19/2019 8:37:59 PM,4951,10172,15749,6833,7132,2296,2682,74251,69,77,60,255
1/19/2019 8:38:00 PM,3080,28252,23178,12593,6108,12524,7219,47303,69,66,66,255
1/19/2019 8:38:01 PM,8129,37243,5458,6559,6451,29015,6144,90152,69,61,74,255
1/19/2019 8:38:02 PM,521,7602,14606,5713,6984,8949,4781,56862,69,63,83,255
1/19/2019 8:38:03 PM,2067,15329,5338,3682,10141,10721,5260,56996,69,64,80,255
1/19/2019 8:38:04 PM,883,8265,9547,7373,5547,15095,12935,72228,69,69,70,255
1/19/2019 8:38:05 PM,1519,19624,11247,10682,3521,1869,3310,68630,69,70,78,255
1/19/2019 8:38:06 PM,15993,6074,5097,6290,6045,34099,5656,50715,69,66,66,255
1/19/2019 8:38:07 PM,2139,3377,10179,10692,11422,22441,2252,70613,69,66,57,255
1/19/2019 8:38:08 PM,4204,11637,5442,2600,4000,17148,3178,58823,69,63,60,255
1/19/2019 8:38:09 PM,11016,29318,12149,18600,6671,66686,4352,53670,69,60,47,255
1/19/2019 8:38:10 PM,8525,24190,5456,7683,9616,17354,4707,77497,69,64,57,255
1/19/2019 8:38:11 PM,18082,5401,3645,5437,9082,21489,4112,84084,69,63,54,255
1/19/2019 8:38:12 PM,3648,11945,7944,8185,5931,20751,6222,67743,69,66,53,255
1/19/2019 8:38:13 PM,5240,15316,3837,14942,6141,4013,4167,48298,69,80,56,255
1/19/2019 8:38:14 PM,1894,10261,6305,4671,6938,7268,4267,62175,69,83,57,255
