Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:50:03 PM,167396,6826,7599,3828,6493,11116,4367,69109,69,75,75,255
1/19/2019 8:50:04 PM,9602,10192,13436,16796,10339,64478,3657,73789,69,83,69,255
1/19/2019 8:50:05 PM,14282,11198,12620,8713,9644,24523,7214,38205,69,84,64,255
1/19/2019 8:50:06 PM,10215,3878,12490,14037,4215,17026,4038,40340,69,78,57,255
1/19/2019 8:50:07 PM,9637,10584,39459,29447,24310,14330,3722,27866,69,81,57,255
1/19/2019 8:50:08 PM,5739,11359,8099,32281,14314,16784,4521,23681,69,90,60,255
1/19/2019 8:50:09 PM,467646,3011,110822,25038,10470,29639,11651,37106,69,83,69,255
1/19/2019 8:50:10 PM,4632,26993,31034,17717,12005,59006,4745,30238,69,81,75,255
1/19/2019 8:50:11 PM,2690,18796,6847,20654,4746,14952,4911,27926,69,74,74,255
1/19/2019 8:50:12 PM,10372,10892,13447,50792,4231,36240,4875,38442,69,60,70,255
1/19/2019 8:50:13 PM,4889,20677,72447,75737,5533,8593,1282,27415,69,56,67,255
1/19/2019 8:50:14 PM,47357,4110,119368,30250,11752,6101,4649,48026,69,56,81,255
1/19/2019 8:50:15 PM,2134,7372,39262,50035,6199,10985,5515,29490,69,54,81,255
1/19/2019 8:50:16 PM,5239,51556,89914,112630,12066,24977,1957,56516,69,54,93,255
1/19/2019 8:50:17 PM,4998,33012,43189,29620,6467,25116,5642,41987,69,56,94,255
1/19/2019 8:50:18 PM,8753,15944,48215,40879,7007,24780,3635,34989,69,54,83,255
1/19/2019 8:50:19 PM,109592,57505,32130,30428,6322,14447,3298,40650,69,51,93,255
1/19/2019 8:50:20 PM,12701,21202,59223,32512,7791,34460,1801,25655,69,51,93,255
1/19/2019 8:50:21 PM,7200,3381,20149,12430,17306,25459,4059,39508,69,64,83,255
1/19/2019 8:50:22 PM,3430,6605,32347,6713,17279,30542,3394,33476,69,74,80,255
1/19/2019 8:50:23 PM,4654,6181,20385,19298,5071,27409,3741,34637,69,77,69,255
1/19/2019 8:50:24 PM,16975,13065,12114,39538,7038,12181,2130,34449,69,83,61,255
1/19/2019 8:50:25 PM,12709,22733,103873,42082,7272,37952,3035,25886,69,66,74,255
1/19/2019 8:50:26 PM,4345,21555,24437,11759,4473,9163,2858,34063,69,57,81,255
1/19/2019 8:50:27 PM,2055,98439,112385,19583,10431,21462,3625,33363,69,53,100,255
1/19/2019 8:50:28 PM,11416,19074,10598,19767,5671,18158,1927,38952,69,50,100,255
