Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:51:30 PM,16556,13156,67792,9645,6327,43066,5644,63471,52,67,78,255
1/19/2019 8:51:31 PM,8592,30293,15957,29278,11968,10807,4121,88305,52,66,75,255
1/19/2019 8:51:32 PM,1441,5670,7367,61752,13108,28549,2304,41284,52,74,64,255
1/19/2019 8:51:33 PM,15597,32753,28684,42972,7608,12335,3362,31832,52,67,69,255
1/19/2019 8:51:34 PM,2215,15616,67000,29818,21592,10179,2062,27891,52,80,69,255
1/19/2019 8:51:35 PM,2862,8106,46356,12343,6934,12822,1869,28420,52,75,75,255
1/19/2019 8:51:36 PM,3393,16789,31310,39252,9412,6944,2611,35429,52,69,90,255
1/19/2019 8:51:37 PM,6478,18874,8694,28283,1766,11565,1735,39227,52,64,87,255
1/19/2019 8:51:38 PM,6022,24055,13637,14488,7301,5135,3094,24935,52,61,88,255
1/19/2019 8:51:39 PM,11262,14059,19875,10136,10976,24701,2576,29629,52,66,81,255
1/19/2019 8:51:40 PM,3391,31397,12885,27109,5331,25559,5076,45977,52,60,80,255
1/19/2019 8:51:41 PM,16251,29734,101239,31054,9181,10241,4771,42284,52,63,91,255
1/19/2019 8:51:42 PM,11809,8219,20339,33379,17782,9798,2141,46519,52,69,81,255
1/19/2019 8:51:43 PM,9553,15860,5858,36670,17406,18911,2514,30544,52,78,75,255
1/19/2019 8:51:44 PM,16791,32194,18298,40042,12788,8766,3214,18850,52,87,75,255
1/19/2019 8:51:45 PM,676135,34687,64140,23564,9625,5033,4213,22576,52,90,75,255
1/19/2019 8:51:46 PM,8604,38554,76384,11869,10979,82274,2721,33439,52,74,83,255
1/19/2019 8:51:47 PM,6804,2129,15737,14939,11376,36640,3379,42398,52,66,81,255
1/19/2019 8:51:48 PM,3156,38096,7464,35957,8309,21934,2851,41417,52,63,80,255
1/19/2019 8:51:49 PM,18520,28323,24992,14708,11197,24295,3877,35509,52,64,74,255
1/19/2019 8:51:50 PM,449065,56140,42931,22317,8506,19347,3322,47068,52,67,78,255
1/19/2019 8:51:51 PM,4847,45810,31125,16247,10989,25727,6298,41627,52,63,93,255
1/19/2019 8:51:52 PM,5012,24175,11470,15959,9297,8457,3761,34950,52,66,96,255
1/19/2019 8:51:53 PM,12518,1285,7245,16316,19257,16305,3571,37971,52,81,81,255
1/19/2019 8:51:54 PM,48426,3621,24920,43149,15606,35845,3541,64661,52,90,64,255
1/19/2019 8:51:55 PM,22807,44376,23213,21324,6677,11215,5770,39691,52,88,66,255
